0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- LUBRICANTS,Air Compressor Lubricants,Flash Point,IS 1448 (Part 69)
2,CHEMICAL- LUBRICANTS,Air Compressor Lubricants,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
3,CHEMICAL- LUBRICANTS,Air Compressor Lubricants,Pour Point,"IS 1448 (Part 10, Section 02)"
4,CHEMICAL- LUBRICANTS,Antiwear Hydraulic Oil,Flash Point,IS 1448 (Part 69)
5,CHEMICAL- LUBRICANTS,Antiwear Hydraulic Oil,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
6,CHEMICAL- LUBRICANTS,Antiwear Hydraulic Oil,Pour Point,"IS 1448 (Part 10, Section 02)"
7,CHEMICAL- LUBRICANTS,Antiwear Hydraulic Oil,Viscosity Index,IS 1448 (Part 56)
8,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oil,Appearance,IS 13656
9,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oils,Density,IS 1448 (Part 16)
10,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oils,Flash Point,IS 1448 (Part 69)
11,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oils,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
12,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oils,Pour Point,"IS 1448 (Part 10, Section 02)"
13,CHEMICAL- LUBRICANTS,Diesel & Gasoline Oils,Viscosity Index,IS 1448 (Part 56)
14,CHEMICAL- LUBRICANTS,Fuel Oil (DG),Density,IS 1448 (Part 32)
15,CHEMICAL- LUBRICANTS,Fuel Oil (DG),Flash Point,IS 1448 (Part 21)
16,CHEMICAL- LUBRICANTS,Fuel Oil (DG),Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
17,CHEMICAL- LUBRICANTS,Fuel Oil (DG),Pour Point,"IS 1448 (Part 10, Section 02)"
18,CHEMICAL- LUBRICANTS,Fuel Oils,Density,IS 1448 (Part 16)
19,CHEMICAL- LUBRICANTS,Fuel Oils,Flash Point,IS 1448 (Part 21)
20,CHEMICAL- LUBRICANTS,Fuel Oils,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
21,CHEMICAL- LUBRICANTS,Fuel Oils,Relative Density,IS 1448 (Part 32)
22,CHEMICAL- LUBRICANTS,Gear Lubricants,Flash Point,IS 1448 (Part 69)
23,CHEMICAL- LUBRICANTS,Gear Lubricants,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
24,CHEMICAL- LUBRICANTS,Gear Lubricants,Pour Point,"IS 1448 (Part 10, Section 02)"
25,CHEMICAL- LUBRICANTS,Gear Lubricants,Viscosity Index,IS 1448 (Part 56)
26,CHEMICAL- LUBRICANTS,Turbine Lubricating Oils,Density,IS 1448 (Part 16)
27,CHEMICAL- LUBRICANTS,Turbine Lubricating Oils,Flash Point,IS 1448 (Part 69)
28,CHEMICAL- LUBRICANTS,Turbine Lubricating Oils,Kinematic Viscosity (At 40 C),"IS 1448 (Part 25, Section 01)"
