0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,Coliform count,IS-5401 (Part-1)
2,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,E. Coli,IS-5887 (Part-1)
3,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,S. aureus,IS-5887 (Part-2)
4,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,Salmonella,IS-5887 (Part-3)
5,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,Shigella,IS-5887 (Part-7)
6,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,Total Plate Count,IS-5402
7,BIOLOGICAL- ANIMALFOOD & FEED,Dog Feed,Total Yeast & Mould Count,IS-5403
8,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Cream,Gram negative: E.coli Pseudomonas aeruginosa S.aureus C. albicans,IS 14648:
9,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Cream,Total viable count,IS 14648
10,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Powder (Face & Body powder),Gram negative: E.coli Pseudomonas aeruginosa S.aureus C. albicans,IS 14648
11,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Powder (Face & Body powder),Total viable count,IS 14648
12,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Powder (For Infants),Total viable count,IS 14648
13,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Skin Powder (For Infants),Gram negative: E.coli Pseudomonas aeruginosa S.aureus C. albicans,IS 14648:
14,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Toothpaste,C. albicans,IS 14648
15,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Toothpaste,E.coli,IS 14648
16,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Toothpaste,Pseudomonas aeruginosa,IS 14648
17,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Toothpaste,S.aureus,IS 14648
18,BIOLOGICAL-COSMETICS ANDESSENTIAL OILS,Toothpaste,Total viable count,IS 14648
19,BIOLOGICAL- DRUGSANDPHARMACEUTICALS,Antibiotic Assay,Cyanocobalamin (Vitamin B12),STP/MICRO/ 021
24,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Ice Cream, Frozen dessert, Milk, Lolly, Ice Candy,",B. cereus,IS:5887 (Part-6)
25,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Ice Cream, Frozen dessert, Milk, Lolly, Ice Candy,",Clostridium perfringens,IS:5887 (Part-4)
26,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Ice Cream, Frozen dessert, Milk, Lolly, Ice Candy,",Salmonella,IS: 5887 (Part-3)
27,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Ice Cream, Frozen dessert, Milk, Lolly, Ice Candy,",Staphylococcus aureus,IS: 5887 (Part 2)
28,BIOLOGICAL- FOODAND AGRICULTURALPRODUCTS,"Ice Cream, Frozen dessert, Milk, Lolly, Ice Candy,",Yeast & Mould Count,IS: 5403
