0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",CLEARANCES and CREEPAGEDISTANCES,IS-616:2017/ IEC 60065 : 2014(Cl.13.0)
2,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",CLEARANCES and CREEPAGEDISTANCES,IS-616:2017/ IEC 60065 : 2014(Cl.13.0)
3,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Components (Verication ofreports as per relevant Standards),IS-616:2017/ IEC 60065 : 2014(Cl.14.0)
4,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Constructional requirementswith regard to the protectionagainst electric shock,IS-616:2017/ IEC 60065 : 2014(Cl. No.8)
5,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Electric shock hazard undernormal operating condition,"IS-616:2017/ IEC 60065 : 2014(Cl.9.1 , 9.2)"
6,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Electric shock hazard undernormal operating condition,"IS-616:2017/ IEC 60065 : 2014(Cl.9.1, 9.2)"
7,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Electrical connection andmechanical xings,IS-616:2017/ IEC 60065 : 2014(Cl.17.0)
8,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Fault Conditions,IS-616:2017/ IEC 60065 : 2014(Cl.11)
9,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Heating under normaloperating conditions- General,IS-616:2017/ IEC 60065 : 2014(Cl. No.7.1)
10,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Heating under normaloperating conditions- Heatresistance of insulatingmaterial,IS-616:2017/ IEC 60065 : 2014(Cl. No.7.2)
11,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Humidity treatment,IS-616:2017/ IEC 60065 : 2014(Cl.10.3)
12,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Input Rating,IS-616:2017/ IEC 60065 : 2014(Cl No 4.2 & 5.1)
13,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Input Rating,IS-616:2017/ IEC 60065 : 2014(Cl No 4.2 & 5.1)
14,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Insulation resistance anddielectric strength,IS-616:2017/ IEC 60065 : 2014(Cl.10.4)
15,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Marking & Instructions-Identication & supply ratings,"IS-616:2017/ IEC 60065 : 2014(Cl. No. 5.1,5.3, 5.4, 5.5 )"
16,ELECTRONICS- AUDIOEQUIPMENT,"Audio, Video and Similar Electronic Apparatus",Mechanical Strength,IS-616:2017/ IEC 60065 : 2014(12.6)
