0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI /EMC TEST FACILITY,Electrical Lighting and Similar Equipment,Conducted Disturbances,IS 6873-5: 2019
2,ELECTRICAL- EMI /EMC TEST FACILITY,Lighting Product,Surge Testing,IS 14700-4-5: 2019
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Lighting Products,Impact Test,IEC 62262-2002 Amd:2021
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Lighting Products,Impact Test,IS 17050: 2023
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Lighting Products,"Ingress protection test 20,X5, and X6","IS 10322-5-3, Cl. No. 14:2012"
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Plastic Products/ Material,Glow Wire Test,IEC 60695-2-10: 2021
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Plastic Products/ Material,Glow Wire Test,IS 11000-2-1 : 2018
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Electronic control gear,Supply voltage switchingtest,IS 16104 Cl. No. 13: 2012
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaires,Protection against electricshock,IS 10322 (Part 5/ Sec 1)Clause No 12: 2012
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaires,"Test for Ingress of Dust,Solid Objects and Moisture IP- 20, X5, X6",IS 10322 (Part 5 Sec 1)Clause No 14: 2012
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Endurance test,IS 10322 (Part 5/ Sec 1)Clause No 13: 2012
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Resistance to heat,IS 10322 (Part 5/ Sec 1)Clause No 16: 2012
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood light,Humidity Test,IS 10322 (Part 5/ Sec 5)Clause No 14: 2013
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Insulation Resistance And Electric Strength,"IS 10322-5-5, Cl No. 15:2013"
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Marking,"IS 10322-5-5, Cl. No. 6:2013"
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Provision For Earthing,"IS 10322-5-5, Cl. No. 9:2013"
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,"Test for Ingress of Dust,Solid Objects and Moisture IP- 20, X5, X6",IS 10322 (Part 5/ Sec 5)Clause No 14: 2013
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Thermal Tests,"IS 10322-5-5, Cl. No. 13:2013"
19,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Endurance test,IS 10322 (Part 5/ Sec 5)Clause No 13: 2013
20,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Floodlights,Leakage Current,IS 10322 (Part 5/ Sec 5)Clause No. 15: 2013
