0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Air-Cleaning Appliances,Moisture resistance /Humiditypreconditioning,Cl. 15 (Cl. 15.3 of RD); IEC60335-2-65:2023 / BS EN60335-2-65
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Air-Cleaning Appliances,"Protection against access tolive parts / Ingress Protection(1 X, 2 X, 3 X & 4 X)",Cl. 8 (Cl. 8.1 of RD); IEC60335-2-65:2023 / BS EN60335-2-65
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Air-Cleaning Appliances,Resistance to heat and re /Glow wire test,Cl. 30 (Cl. 30.2 of RD); IEC60335-2-65:2023 / BS EN60335-2-65
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Ancillary Equipment - PCB Terminal Blocks for Copper Conductors,Resistance to abnormal heatand re / Glow wire test &Glow wire test (On Equipment),Cl. 9.5; IEC 60947-7-4
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Ancillary Equipment - Protective Conductor Terminal Blocksfor Copper Conductors,Resistance to abnormal heatand re / Glow wire test &Glow wire test (On Equipment),Cl. 7.1.5; IEC 60947-7-2
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Ancillary Equipment - Safety Requirements for Fuse Terminal Blocks,Resistance to abnormal heatand re / Glow wire test &Glow wire test (On Equipment),Cl. 7.2.3.3; IEC 60947-7-3
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Ancillary Equipment - Terminal Blocks for Aluminium Conductors,Resistance to abnormal heatand re / Glow wire test &Glow wire test (On Equipment),Cl. 8.1.5; IEC 60947-7-5
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Ancillary Equipment - Terminal Blocks for Copper Conductors,Resistance to abnormal heatand re / Glow wire test &Glow wire test (On Equipment),Cl. 7.1.5 (Cl. 8.1.2.2 & 9.2.2.1of RD); IEC 60947-7-1
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Appliance Couplers for Household and Similar General Purposes,Glow wire test,Cl. 27.1; IEC 60320-1
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Appliance Couplers for Household and Similar General Purposes,Humidity Preconditioning,Cl. 14; IEC 60320-1
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Appliance Couplers for Household and Similar General Purposes,Resistance to Ageing / Mould Stress relief test,Cl. 24.2; IEC 60320-1
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Assemblies for Construction Sites (ACS),"Design Verication / Degree ofprotection of assemblies (IPcode) (1 X, 2 X, 3 X & 4 X)",Cl. 8.2.2 & 10 (Cl. 8.2.2 & 10.3of RD); IEC 61439-4
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Assemblies for Construction Sites (ACS),Design Verication / Degree ofprotection of assemblies (IPcode) (IPX3 & IPX4),Cl. 8.2.2 & 10 (Cl. 8.2.2 & 10.3of RD); IEC 61439-4
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Assemblies for Construction Sites (ACS),Design Verication / Glow Wiretest,Cl. 10 (Cl. 10.2.3.2 of RD); IEC61439-4
