0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Mechanism,IS/IEC 60898-1 (Clause 8.1.2)
2,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,28 days Test,IS/IEC 60898-1 (Clause 9.9)
3,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Clearances and Creepage Distances,IS/IEC 60898-1 (Clause 8.1.3)
4,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Dielectric Strength of the Main Circuit,IS/IEC 60898-1 (Clause 9.7.3)
5,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Indelibility of Marking,IS/IEC 60898-1 (Clause 9.3)
6,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Insulation Resistance ofthe Main Circuit,IS/IEC 60898-1 (Clause 9.7.2)
7,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Mechanical Stresses,IS/IEC 60898-1 (Clause 9.13)
8,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Non-Interchangeability,IS/IEC 60898-1 (Clause 8.1.6)
9,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Resistance to Abnormal Heat and to Fire,IS/IEC 60898-1 (Clause 9.15)
10,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Resistance to Humidity,IS/IEC 60898-1 (Clause 9.7.1)
11,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Resistance to Rusting,IS/IEC 60898-1 (Clause 9.16)
12,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Mechanical and Electrical Endurance,IS/IEC 60898-1 (Clause 9.11)
13,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Protection Against Electric Shock,IS/IEC 60898-1 (Clause 9.6)
14,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,"Test of Reliability of Screws, Current-Carrying Parts and Connections",IS/IEC 60898-1 (Clause 9.4)
15,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Reliability of Terminals for External Conductors,IS/IEC 60898-1 (Clause 9.5)
16,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Resistance to Heat,IS/IEC 60898-1 (Clause 9.14)
17,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Temperature-Riseand Measurement of Power Loss,IS/IEC 60898-1 (Clause 9.8)
18,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Electrical Accessories Circuit-Breakers For Over Current Protection for Household and Similar Installations,Test of Tripping Characteristic,IS/IEC 60898-1 (Clause 9.10)
