0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameteror characteristictested / Specic Test Performed / Tests ortype of testsperformed",Test Method Specification againstwhich tests areperformed and / or thetechniques /equipment used
Site Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3phase)Watthour Smart Meter Class 1 and 2,No Load Test,IS 16444(Part-1) (Clause 6.12)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3 phase)Watthour Smart Meter Class 1 and 2,Meter Constant,IS 16444 (Part-1)(Clause 6.12)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3 phase)Watthour Smart Meter Class 1 and 2,Repeatability of Error,IS 16444(Part-1) (Clause 6.12)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3 phase)Watthour Smart Meter Class 1 and 2,Starting Condition,IS 16444(Part-1) (Clause 6.12)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3phase)Watthour Smart Meter Class 1 and 2,Limits of Error,IS 16444(Part 1) (Clause 6.12)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3phase)Watthour Smart Meter Class 1 and 2,Test of Inuence Quantities - Frequency Variation,IS 16444 (Part-1)(Clause 6.12)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected (1 phase/ 3phase)Watthour Smart Meter Class 1 and 2,Test of Inuence Quantities - Voltage Variation,IS 16444 (Part-1)(Clause 6.12)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated (1 phase/ 3phase)Watthour and Var-Hour Smart Meters,Class 0.2s, 0.5s and 1.0s",Limits of Error,IS 16444 (Part 2)(Clause 6.12)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated (1 phase/ 3phase)Watthour and Var-Hour Smart Meters,Class 0.2s, 0.5s and 1.0s",Meter Constant,IS 16444 (Part 2)(Clause 6.12)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated (1 phase/ 3phase)Watthour and Var-Hour Smart Meters,Class 0.2s, 0.5s and 1.0s",No Load Test,IS 16444 (Part 2)( Clause 6.12)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated (1 phase/ 3phase)Watthour and Var-Hour Smart Meters,Class 0.2s, 0.5s and 1.0s",Repeatability of Error,IS 16444 (Part 2) (Clause 6.12)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated (1 phase/ 3phase)Watthour and Var-Hour Smart Meters,Class 0.2s, 0.5s and 1.0s",Starting Condition,IS 16444 (Part 2)(Clause 6.12)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated Watthour and Var-Hour (1 phase/ 3 phase)Smart Meters, Class 0.2s, 0.5s and 1.0s",Test of Inuence Quantities - Voltage Variation,IS 16444 (Part 2) (Clause 6.12)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer Operated Watthour and Var-Hour (1 phase/ 3 phase) Smart Meters, Class 0.2s, 0.5s and 1.0s",Test of Inuence Quantities - Frequency Variation,IS 16444 (Part 2) (Clause 6.12)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase)Energy Meter of Class 0.2 S, 0.5 S and 1 S",Repeatability of Error,IS 14697 (Clause 12.16)
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase)Energy Meter of Class 0.2 S, 0.5 S and 1 S",Test of Inuence Quantities - Frequency Variation,"IS 14697 (Clause 11.1,11.2 & 12.10)"
17,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase)Energy Meter of Class 0.2 S, 0.5 S and 1 S",Test of Inuence Quantities - Voltage Variation,"IS 14697 (Clause 11.1,11.2 & 12.10)"
18,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",15-Minute Block Average Frequency Measurement Test,CBIP No: 325 (Clause 6.9(C) (i))
19,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",Meter Constant,"IEC 62053-22,24 (Clause 7.4,8.4)"
20,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",Meter Constant,IS 14697(Clause 12.14 &11.6)
21,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",No Load Condition,IS 14697(Clause 12.12)
22,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",Starting Current,"IEC 62053-22,24 (Clause 7.7)"
23,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",Starting Current,IS 14697 (Clause 12.13)
24,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase)Energy Meter of Class 0.2 S, 0.5 S and 1 S",Limits of Error,IS 14697 (Clause 11)
25,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated (1 phase/ 3phase) Energy Meter of Class 0.2 S, 0.5 S and 1 S",Reactive Energy Registration Verication Test during voltage high(V Greater than 103%) &voltage low (V Lesserthan 97%),CBIP No: 325 (Clause 6.9(C) (iv&v))
