0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-CORROSION TESTS,"HTLS Conductor (Stranded Conductors Carbon Fiber, Thermoset Polymer Matrix Composit Core(CFC))",Salt Spray Test,PGCIL Specification Section VII B Annexure A
3,CHEMICAL-CORROSION TESTS,Optical Ground Wire (OPGW) for use on Electric Utility Power Lines,Salt spray corrosion test,IEEE 1138
4,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Chromium (Cr),ASTM E1251
5,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Chromium (Cr),IS 11035
6,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Copper (Cu),ASTM E1251
7,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Copper (Cu),IS 11035
8,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Iron (Fe),ASTM E1251
9,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Iron (Fe),IS 11035
10,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Lead (Pb),ASTM E1251
11,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Magnesium (Mg),ASTM E1251
12,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Magnesium (Mg),IS 11035
13,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Manganese (Mn),ASTM E1251
14,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Manganese (Mn),IS 11035
15,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Nickel (Ni),ASTM E1251
16,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Silicon (Si),ASTM E1251
17,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Silicon (Si),IS 11035
18,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Tin (Sn),ASTM E1251
19,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Titanium (Ti),ASTM E1251
20,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Titanium (Ti),IS 11035
21,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Zinc (Zn),ASTM E1251
22,CHEMICAL- METALS &ALLOYS,Aluminium Base Alloys,Zinc (Zn),IS 11035
23,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Carbon (C),ASTM E415
24,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Carbon (C),IS 8811
25,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Chromium (Cr),ASTM E415
26,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Chromium (Cr),IS 8811
27,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Copper (Cu),ASTM E415
28,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Copper (Cu),IS 8811
29,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Manganese (Mn),ASTM E415
30,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Manganese (Mn),IS 8811
31,CHEMICAL- METALS &ALLOYS,Carbon & Low alloy Steel,Molybdenum (Mo),ASTM E415
