0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Airborne Equipment,"Shock Test Dimensions(mm): Armature: 440 dia,Slip table (mm) :750 L750 W, Head Expander(mm) :1000 L 1000 W","RTCA DO 160 G, Section 07"
2,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Airborne Equipment,"Vibration Test (Slip Table)Dimensions (mm):Armature: 440 dia, Sliptable (mm) :750 L 750 W,","RTCA DO 160 G, Section 08"
3,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Airborne Equipment,"Vibration Test withexpander - Dimensions(mm): Armature: 440 dia,Head Expander (mm):1000 L 1000 W","RTCA DO 160 G, Section 08"
4,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Airborne Equipment,"Vibration Test with outexpander - Dimensions(mm): Armature: 440 dia,Slip table (mm) :750 L750 W","RTCA DO 160 G, Section 08"
5,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Automotive- for Electronic component design in Heavy- Duty Vehicle applications,Dry Heat (High Temperature) Chamber Dimensions Minimum Size: 980 L x 980 W x 940 H Maximum Size: 1200 L x 1200 W x 1300 H,"SAE J1455, Section 4.1"
6,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical Relays,Vibration Test (Armature)Dimensions (mm):Armature: 440 dia,"IEC 60255-21-1, Clause 4.2"
7,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical Relays,"Vibration Test withexpander - Dimensions(mm): Armature: 440 dia,Head Expander (mm):1000 L 1000 W","IEC 60255-21-1, Clause 4.2"
8,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical Relays,"Vibration Test with outexpander - Dimensions(mm): Armature: 440 dia,Slip table (mm) :750 L750 W","IEC 60255-21-1, Clause 4.2"
9,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electrical/Electronic components & devices of Telecommunications equipment,Dry Heat (High Temperature) Chamber Dimensions Minimum Size: 980 L x 980 W x 940 H Maximum Size: 1200 L x 1200 W x 1300 H,"EN ETSI 300019-2-1,Clause 4.3, 4.4, 4.5,Method: Bb"
10,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronic & Electrical items of IT Products/Domestic/ Industrial Automation/ Scientic/Medical/Aerospace/Automotive/ Defense/Telecom/Consumer/ Household/ Machinery/Testand Measurement /Laboratory/ Locomotive /Wireless Products,Dry Heat (High Temperature) Chamber Dimensions Minimum Size: 980 L x 980 W x 940 H Maximum Size: 1200 L x 1200 W x 1300 H,"IEC 60068-2-2, Test B"
11,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronic & Electrical items of IT Products/Domestic/ Industrial Automation/ Scientic/Medical/Aerospace/Automotive/ Defense/Telecom/Consumer/ Household/ Machinery/Testand Measurement /Laboratory/ Locomotive /Wireless Products,Temperature Cycling Chamber Dimensions Minimum Size: 980 L x 980 W x 940 H Maximum Size: 1200 L x 1200 W x 1300 H,"IEC 60068-2-14, Test Na& Nb"
