0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Adjacent Channel Leakage power Ratio-5 GNR,3 GPP TS 38.141-1 (Clause 6.6.3.5.3 & Clause 6.6.3.5.4)
2,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Adjacent Channel Selectivity-5 G NR,3 GPP TS 38.141-1 Clause 7.4.1
3,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Base station outputpower-5 G NR,3 GPP TS 38.141-1 Clause 6.2
4,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",In-band blocking-5 G NR,3 GPP TS 38.141-1 Clause 7.4.2
5,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Operating band unwantedemission-5 G NR,3 GPP TS 38.141-1 Clause 6.6.4.5.7 & Clause 6.6.4.5.8
6,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Out-of -Band blocking-5 GNR,3 GPP TS 38.141-1 Clause 7.5
7,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Receiverintermodulation-5 G NR,3 GPP TS 38.141-1 Clause 7.7
8,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Receiver spuriousemissions-5 G NR,3 GPP TS 38.141-1 Clause 7.6.5.2 & Clause 7.6.5.3
9,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Reference sensitivitylevel-5 G NR,3 GPP TS 38.141-1 Clause 7.2
10,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Transmitterintermodulation-5 G NR,3 GPP TS 38.141-1 Clause 6.7.5.1 & Clause 6.7.5.2
11,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),"Base station 5 G NR 1-C, 1-H Radio's",Transmitter spuriousemissions-5 G NR,3 GPP TS 38.141-1 Clause 6.6.5.5.3 & Clause 6.6.5.5.4
12,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Radio,Adjacent Channel Leakage Power Ratio,"3 GPP TS 37.141,Clause 6.6.4"
13,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Radio,Adjacent Channel Leakage Power Ratio,"3 GPP TS 37.145- 1,Clause 6.6.3"
