0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipment used
Permanent Testing,,,,
1,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Abnormal operation /Faultcondition test,IEC/EN 60335-2-24 (Cl.No.19.0) Edition 8.0
2,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Capacitor Discharge Test,IEC/EN 60335-2-24:(Cl.No.22.5) Edition 8.0
3,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Clearances and Creepage Distances and solidinsulation,IEC/EN 60335-2-24 (Cl.No.29.0) Edition 8.0
4,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Heating,IEC/EN 60335-2-24 (Cl.No.11.0) Edition 8.0
5,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Internal Wiring,IEC/EN 60335-2-24 (Cl.No.23.0) Edition 8.0
6,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Leakage current and Electric Strength atoperating temperature,IEC/EN 60335-2-24 (Cl.No.13.0 & 16.0) Edition 8.0
7,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Marking and instructions,IEC/EN 60335-2-24 (Cl.No.7.0) Edition 8.0
8,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Mechanical stregth,IEC/EN 60335-2-24 (Cl.No.21) Edition 8.0
9,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Moisture Resistance,IEC/EN 60335-2-24 (Cl.No.15.0) Edition 8.0
10,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Overload protection oftransformers andassociated circuits,IEC/EN 60335-2-24 (Cl.No.17.0) Edition 8.0
11,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Power Input and current,IEC/EN 60335-2-24 (Cl.No.10.0) Edition 8.0
12,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Protection against accessto live parts,IEC/EN 60335-2-24:(Cl.No.8.0) Edition 8.0
13,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Provision for Earthing,IEC/EN 60335-2-24 (Cl.No.27.0) Edition 8.0
14,ELECTRICAL-DOMESTIC ELECTRICALAPPLIANCES,"Appliances for refrigerating appliances& ice creamappliances, icemakers",Resistance to heat and re,IEC/EN 60335-2-24(Cl. No.30.0) Edition 8.0
