0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMC TESTFACILITY,"""Wideband transmission systems; Data transmissionequipment operating in the 2,4 GHz ISM band and usingwide band modulation techniques;/ 5 GHz RLAN /Harmonised Standard covering the essential requirementsof article 3.2 of Directive 2014/53/EU",Occupied Channel Bandwidth,"ETSI EN 300 328 V2.1.1(2016-06)(Withdrawn Standard), ETSI EN 300 328 V2.2.2 (2019-07), ETSI EN 301893 V2.1.1"
2,ELECTRONICS- EMC TESTFACILITY,IT Products /Domestic /Industrial Automation / Scientic/Optronics /Medical /Automotive / Telecom /Consumer/Household /Machinery / Test and Measurement /Laboratory/ Locomotive /RF Products / Wireless Products,Ring wave Immunity Test,IEC 61000-4-12 Edition 3.0
3,ELECTRONICS- EMC TESTFACILITY,Short Range Devices (SRD) operating in the frequencyrange 25 MHz to 1 000 MHz; Part 1: Technicalcharacteristics and methods of measurement / Harmonised Standard covering the essential requirements of article 3.2of Directive 2014/53/EU,Unwanted emissions in thespurious domain,ETSI EN 300 220-1 V3.1.1:
4,ELECTRONICS- EMC TESTFACILITY,"""Short Range Devices (SRD) operating in the frequencyrange 25 MHz to 1 000 MHz; Part 1: Technicalcharacteristics and methods of measurement/ Short Range Devices (SRD) operating in the frequency range 25 MHz to 1 000 MHz; Part 2: Harmonised Standard for access to radiospectrum for non specic radio equipment/ Widebandtransmission systems; Data transmission equipmentoperating in the 2,4 GHz ISM band and using wide bandmodulation techniques;/ 5 GHz RLAN / Wireless Access Systems (WAS); 5,8 GHz xed broadband data transmittingsystems. / Harmonised Standard covering the essentialrequirements of article 3.2 of Directive 2014/53/EU",Power Spectral Density,"ETSI EN 300 220-1 V3.1.1(2017-02), ETSI EN 300 220-2 V3.2.1 (2018-06), ETSII EN 300328 V2.2.2 (2019-07), ETSI EN301 893 V2.1.1 (2017-05), ETSIEN 302 502 V2.1.3"
5,ELECTRONICS- EMC TESTFACILITY,"""Short Range Devices (SRD) operating in the frequencyrange 25 MHz to 1 000 MHz; Part 1: Technicalcharacteristics and methods of measurement/ Short Range Devices (SRD) operating in the frequency range 25 MHz to 1 000 MHz; Part 2: Harmonised Standard for access to radiospectrum for non specic radio equipment/ Short Range Devices (SRD) operating in the frequency range 25 MHz to 1 000 MHz; Part 3-1: Harmonised Standard covering theessential requirements of article 3.2 of Directive 2014/53/EU; Low duty cycle high reliability equipment,social alarms equipment operating on designatedfrequencies (869,200 MHz to 869,250 MHz)/ Short Range Devices (SRD) operating in the frequency range 25 MHz to 1 000 MHz; Part 4: Harmonised Standard covering theessential requirements of article 3.2 of Directive 2014/53/EU; Metering devices operating in designatedband 169,400 MHz to 169,475 MHz/ Wideband transmissionsystems; Data transmission equipment operating in the 2,4 GHz ISM band and using wide band modulationtechniques;/ 5 GHz RLAN / Wireless Access Systems (WAS);5,8 GHz xed broadband data transmitting systems. /Harmonised Standard covering the essential requirementsof article 3.2 of Directive 2014/53/EU",Receiver Blocking,"ETSI EN 300 220-1 V3.1.1(2017-02), ETSI EN 300 220-2 V3.2.1 (2018-06), ETSI EN 300220-3-1 V2.1.1 (2016-12), ETSIEN 300 220-4 V1.1.1(2017-02), ETSII EN 300 328 V2.2.2 (2019-07), ETSI EN 301893 V2.1.1 (2017-05), ETSI EN302 502 V2.1.3"
6,ELECTRONICS- EMC TESTFACILITY,"""Short Range Devices (SRD) operating in the frequencyrange 25 MHz to 1 000 MHz; Part 1: Technicalcharacteristics and methods of measurement/ Short Range Devices (SRD) operating in the frequency range 25 MHz to 1 000 MHz; Part 3-1: Harmonised Standard covering theessential requirements of article 3.2 of Directive 2014/53/EU; Low duty cycle high reliability equipment,social alarms equipment operating on designatedfrequencies (869,200 MHz to 869,250 MHz)/ 5 GHz RLAN /Wireless Access Systems (WAS); 5,8 GHz xed broadbanddata transmitting systems. / Harmonised Standard coveringthe essential requirements of article 3.2 of Directive 2014/53/EU",Designation of Centre Frequencies and Frequencyerror,"ETSI EN 300 220-1 V3.1.1(2017-02), ETSI EN 300220-3-1 V2.1.1 (2016-12), ETSIEN 301 893 V2.1.1 (2017-05),ETSI EN 302 502 V2.1.3"
7,ELECTRONICS- EMC TESTFACILITY,"""Wideband transmission systems; Data transmissionequipment operating in the 2,4 GHz ISM band and usingwide band modulation techniques; / Harmonised Standardcovering the essential requirements of article 3.2 of Directive 2014/53/EU",Transmitter unwantedemissions in the spuriousdomain,ETSI EN 300 328 V2.2.2
8,ELECTRONICS- EMC TESTFACILITY,"""Wideband transmission systems; Data transmissionequipment operating in the 2,4 GHz ISM band and usingwide band modulation techniques; / Harmonised Standardcovering the essential requirements of article 3.2 of Directive 2014/53/EU","Accumulated Transmit Time,Frequency Occupation and Hopping Sequence both Conducted and Radiated",ETSI EN 300 328 V2.2.2
