0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile,5 G NR Option -2,"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure M"
2,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile,5 G NR Option -3,"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure M"
3,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,RCS (UP 1.0),"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure D"
4,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,E-UTRAN(4 G),"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure C"
5,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,GERAN(2 G),"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure A"
6,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,IMS over 5 GS,"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure L"
7,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,IMS over LTE,"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure L"
8,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,IMS over Wi-Fi,"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure L"
9,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,IP-CAN-Independent,"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure L TS 42 V6 TS25"
10,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,NI (Network Independent),"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure D"
11,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,RCS (UP2.X),"Test Plan: F.5.2 IMS Field Trial Classications Ref Doc: TS 11 V45, Annexure D"
12,ELECTRONICS-TELECOMMUNICATIONEQUIPMENT (FOR TEC CABDESIGNATION),Field Test Mobile Devices,SMS,"Test Plan: F.5.1 5 G NR, E-UTRAN, UTRAN and GERANField Trial Classications Ref Doc: TS 11 V45, Annexure D"
