0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Induced over- voltagewithstand test,IS 1180 (part 1)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Lightning impulse test[front Time],IS 1180 (part 1)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Lightning impulse test[Tail Time],IS 1180 (part 1)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Lightning impulse test[Voltage],IS 1180 (part 1)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of Insulation resistance,IS 1180 (part 1)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of Load loss,IS 1180 (part 1)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of No Loadcurrent,IS 1180 (part 1)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of No Loadloss,IS 1180 (part 1)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of shortcircuit impedance,IS 1180 (part 1)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of voltageratio and check of phasedisplacement,IS 1180 (part 1)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Measurement of windingresistance,IS 1180 (part 1)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Separate-source Voltagewithstand test,IS 1180 (part 1)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Temperature rise test[Oil],IS 2026 (Part 2)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,Distribution Transformer [33 k V & up to 2500k VA],Temperature rise test[Winding],IS 2026 (Part 2)
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power Transformer [400 k V & up to 500 MVA],Determination of soundlevel,IEC60076-10-1:2016+AMD1
16,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power Transformer [400 k V & up to 500 MVA],Check of the ratio andpolarity of built in currenttransformer,IEC 60076-3:2013+AMD1
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power Transformer [400 k V & up to 500 MVA],Chopped wave lightningimpulse test [choppingtime],IEC 60076-3:2013+AMD1
18,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power Transformer [400 k V & up to 500 MVA],Chopped wave lightningimpulse test [choppingtime],IS 2026 (Part 3)
19,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power Transformer [400 k V & up to 500 MVA],Chopped wave lightningimpulse test [voltage],IEC 60076-3:2013+AMD1
