0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Induced over-voltagewithstand test,IS 1180 (Part 1)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Induced over-voltagewithstand test,IS 2026 (Part 3)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Insulation Resistance,IS 1180 (Part 1)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Insulation Resistance,IS 2026 (Part 1)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Load Loss,IS 1180 (Part 1)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Load Loss,IS 2026 (Part 1)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of no-loadloss and current,IS 1180 (Part 1)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of no-loadloss and current,IS 2026 (Part 1)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of short-circuit impedance,IS 1180 (Part 1)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of short-circuit impedance,IS 2026 (Part 1)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Voltage Ratio,IS 1180 (Part 1)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Voltage Ratio,IS 2026 (Part 1)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Winding Resistance,IS 1180 (Part 1)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Measurement of Winding Resistance,IS 2026 (Part 1)
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Oil Leakage Test,IS 1180 (Part 1)
16,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Pressure test,IS 1180 (Part 1)
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Separate-Source Voltage Withstand,IS 1180 (Part 1)
18,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Outdoor Type Oil Immersed Distribution Transformers Up to and Including 315 k VA, 11 k V",Separate-Source Voltage Withstand,IS 2026 (Part 3)
