0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Bis-2-methoxyethyl Phtha Iate(DMEP),BS EN 150 14389: 2022
2,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""","""Phthalates:- Diisoheptyl Phtha Iate(DIHP)""",BS EN ISO 14389:: 2022
3,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Benzyl Butyl Phtha Iate(BBP),BS EN 150 14389:: 2022
4,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Bis-2 ethylhexyl Phthalate (DEHP),BS EN ISO 14389: : 2022
5,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Diisobutyl Phtha Iate(DIBP),BS EN ISO 14389:: 2022
6,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Diisodecyl Phthalate (DIDP),BS EN ISO 14389:: 2022
7,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Diisononyl Phthalate (DINP),BS EN 150 14389:: 2022
8,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Di-N-Hexy IPhthalte (DNHP),BS EN ISO 14389:: 2022
9,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Di-N-octyl Phthalate (DNOP),BS EN 150 14389: 2022
10,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Dipentylphtha Iate(DPP),BS EN ISO 14389:: 2022
11,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"""Textile & Textile products and other coatedmaterial (inclusive of polymer & Polymericcoated) ,Prints""",Phthalates:- Dibutyl Phthalate (DBP),BS EN ISO 14389: 2022
12,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"Accessories Leather, Leather Products, Leather Accessories, Fur Products",4-Aminoazobenzene,GB/T33392: 2016
