0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Cold Start Test,IEC 60571 (Clause No.12.2.4)
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Cold test,"IEC 60068 (Part 2-1, 6th Edition)"
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Cold Test,ISO 16750 (Part 4/Section 5.1.1)
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Combined Temperatureand Vibration Test,ISO 16750 (Part 3)
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test (Cycle),ISO 16750 (Part 4/Section 5.6)
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test (Cyclic),BS EN 50155 (Clause No.13.4.8)
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test (Cyclic),IEC 60571 (Clause No.12.2.6)
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test (Steady State),IEC 60068 (Part 2-78)
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test (Steady State),IS 9000 (Part 4)
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Damp Heat Test Db(12+12 h) Cycle,IEC 60068 (Part 2-30)
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Dry Heat Test,BS EN 50155 (Clause No.13.4.5)
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Dry Heat Test,IEC 60068 (Part 2-2)
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Dry Heat Test,IEC 60571 (Clause No.12.2.5)
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Low Temperature Storage Test,IEC 60571 (Clause No.12.2.15)
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Low Temperature Test,MIL-STD-810 H (Method 502.7)
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Mechanical Shock,IEC 60068 (Part 2-27)
17,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Temperature Test/Dry Heat Test,ISO 16750 (Part 4/Section 5.1.2)
18,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Vibration Random,"MIL-STD-810 H (Clause No.514.8, Category 4)"
19,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Vibration Test (Sinusoidal) MIL-STD-167-1,
20,ELECTRICAL-ENVIRONMENTALTEST FACILITY,All Electrical and Electronic Products,Vibration Testing(Random),IEC 60068 (Part 2-64)
21,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, Dusttest for rst characteristicnumerals 5 and 6",IEC 60529 (Test 13.4)
22,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2ndcharacteristic numeral IPX6",IEC 60529 (Test 14.2.6)
23,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX8",IEC 60529 (Test 14.2.8)
24,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX1",IEC 60529 (Test 14.2.1)
25,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX2",IEC 60529 (Test 14.2.2)
26,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX3",IEC 60529 (Test 14.2.3)
27,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX4",IEC 60529 (Test 14.2.4)
28,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX5",IEC 60529 (Test 14.2.5)
29,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress protection, 2nd Characteristic Numeral IPX7",IEC 60529 (Test 14.2.7)
30,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Electronics Products,"Ingress Protection, 2nd Characteristic Numeral IPX9 K",IEC 60529 (Test 14.2.9)
