0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Aeolian Vibration,"IEEE 1138, Clause no.6.5.3.1"
2,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Attenuation (OTDR) (For Single mode ber at 1310nm),IEC 60793-1-40 (Method C)
3,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Attenuation (OTDR) For Single mode ber at 1550nm,IEC 60793-1-40 (Method C)
4,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Attenuation at Water Peak @1383 nm,IEC 60793-1-40 (Method C)
5,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Bend Test,"IEEE 1138, Clause no.6.5.2.3"
6,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Crush Test,"IEEE 1138, Clause no.6.5.2.2"
7,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Galloping Test,"IEEE 1138, Clause no.6.5.3.2"
8,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Impact Test,IEC 60794-1-2
9,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Lay Length Measurement,"IEEE 1138, Clause no.6.7.1"
10,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Long Term Creep Test,"IEEE 1138, Clause no.6.5.1.1"
11,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Mode eld diameter@1310 nm,IEC 60793-1-45
12,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Point Discontinuity at 1310 nm,IEC 60793-1-40
13,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Point Discontinuity at 1550 nm,IEC 60793-1-40
14,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Seepage of ooding /lling compound,"IEEE 1138, Clause no.6.5.3.6"
15,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Sheave Test,"IEEE 1138, Clause no.6.5.2.1"
16,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Strain Margin Test MRDT :1550 nm 20 nm,"IEEE 1138, Clause no.6.5.1.3"
17,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Optical Ground Wire Cable,Stress Strain Test,"IEEE 1138, Clause no.6.5.1.2"
