0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-ATMOSPHERICPOLLUTION,Test on engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-CH4,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
2,CHEMICAL-ATMOSPHERICPOLLUTION,Test on Engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-CO,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
3,CHEMICAL-ATMOSPHERICPOLLUTION,Test on Engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-CO2,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
4,CHEMICAL-ATMOSPHERICPOLLUTION,Test on Engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-HC,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
5,CHEMICAL-ATMOSPHERICPOLLUTION,Test on Engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-NH3,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
6,CHEMICAL-ATMOSPHERICPOLLUTION,Test on engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-Nox,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
7,CHEMICAL-ATMOSPHERICPOLLUTION,Test on engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-Particulate Matter,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
8,CHEMICAL-ATMOSPHERICPOLLUTION,Test on Engine,A) Pollutants(measuredon steady state cyclesand transient test cycles)-Particulate Number,"Mo RTH/CMVR/TAP/115-116 Issue 4 Amd. 5,R-49-02to R 49-06, 88/77/EEC,2001/27/EC,2005/55/EC,2005/78/EC,(EU) 595/2009, (EU)133/2014, AIS 137 Part-4,AIS 137 Part-7, ADR80/03,97/68/EC2012/46/EU, R96-04,2000/25/EC,(EU)2014/43,40 CFR Part 89 Sub-Part E, 40 CFR Part 86 Sub-Part N, GSR286(E),GSR 83(E),GSR853(E),GSR 686(E),GSR284(E),GSR589(E),GSR276(E),GSR720(E),GSR 84(E),GSR412(E),GSR 889(E), GSR498(E),GSR 412(E),GSR201(E),GSR 598(E),GSR233(E), GSR 625(E),GSR226(E),GSR 728(E),GSR809(E)"
