0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Hot Plate,Temperature rise/Heating,IS 365
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Domestic Electric Food Mixer Grinder & Juicer,Starting of motor operated Appliances,IS 4250
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Immersion Water Heater,Verication of Marking &Instructions,IS 302-2-74
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Instantaneous water heater,Internal Wiring,IS 302-2-35
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Radiator,Internal Wiring,IS 302-2-30
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"1. Electric Oven and Steam Cookers 2. Water Boilers 3. Low Speed Food Grinding Machines 4. Appliances for Heating Liquids 5. Electric Bean Slicers 6. Electric Berryjuice Extractors 7. Electric Can Openers 8. Electric Centrifugal Juicers 9. Electric Churns 10. Electric Citrusfruit Squeezers 11. Electric Coee Mills not exceeding 500g hoppercapacity 12. Electric Cream Whippers 13. Electric Egg Beaters 14. Electric Food Processors 15. Electric Grain Grinders not exceeding 3l hopper capacity 16. Electric Graters 17. Electric Ice Cream Machines, including those foruse in refrigerators and freezers 18. Electric Knife Sharpeners 19. Electric Knives 20. Electric Noodle Makers 21. Electric Potato Peelers 22. Electric Shredders 23.Electric Sieving Machines 24. Slicing Machines 25. Vacuum Cleaners and Water Suction Cleaning Appliances 26.Tumbler Dryers 27. Warming Plates and Similar Appliances 28. Massage Appliances 29. Electric Heating Tools 30.Electric Fence Energizers 31. Electric Call Bells and Buzzersfor Indoor Use 32. Electric Water Boilers 33. Electric Coee Makers 34. Electric Hot Plates 35. Single Walled Baking Ovens 36. Dishwashers 37. Floor Treatment Machines and Wet Scrubbing Machines 38. Food Waste Disposers 39.Blankets, Pads, Clothing and Similar Flexible Heating Appliances 40. Clothes Dryers and Towel Rails 41. Oral Hygiene Appliances 42. Sauna Heating Appliances and Infrared Cabins 43. Thermal Storage Room Heaters 44. Air-Cleaning Appliances 45. Fixed Immersion Heaters 46. Foot Warmers and Heating Mats 47. Fabric Steamers 48.Humidiers 49. Vaporizers 50. Skin Beauty Care Appliances",Abnormal operation,"IS 302 (Part 1), Clause 19"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"1. Electric Oven and Steam Cookers 2. Water Boilers 3. Low Speed Food Grinding Machines 4. Appliances for Heating Liquids 5. Electric Bean Slicers 6. Electric Berryjuice Extractors 7. Electric Can Openers 8. Electric Centrifugal Juicers 9. Electric Churns 10. Electric Citrusfruit Squeezers 11. Electric Coee Mills not exceeding 500g hoppercapacity 12. Electric Cream Whippers 13. Electric Egg Beaters 14. Electric Food Processors 15. Electric Grain Grinders not exceeding 3l hopper capacity 16. Electric Graters 17. Electric Ice Cream Machines, including those foruse in refrigerators and freezers 18. Electric Knife Sharpeners 19. Electric Knives 20. Electric Noodle Makers 21. Electric Potato Peelers 22. Electric Shredders 23.Electric Sieving Machines 24. Slicing Machines 25. Vacuum Cleaners and Water Suction Cleaning Appliances 26.Tumbler Dryers 27. Warming Plates and Similar Appliances 28. Massage Appliances 29. Electric Heating Tools 30.Electric Fence Energizers 31. Electric Call Bells and Buzzersfor Indoor Use 32. Electric Water Boilers 33. Electric Coee Makers 34. Electric Hot Plates 35. Single Walled Baking Ovens 36. Dishwashers 37. Floor Treatment Machines and Wet Scrubbing Machines 38. Food Waste Disposers 39.Blankets, Pads, Clothing and Similar Flexible Heating Appliances 40. Clothes Dryers and Towel Rails 41. Oral Hygiene Appliances 42. Sauna Heating Appliances and Infrared Cabins 43. Thermal Storage Room Heaters 44. Air-Cleaning Appliances 45. Fixed Immersion Heaters 46. Foot Warmers and Heating Mats 47. Fabric Steamers 48.Humidiers 49. Vaporizers 50. Skin Beauty Care Appliances",Charging of metal-ion batteries,"IS 302 (Part 1), Clause 12"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"1. Electric Oven and Steam Cookers 2. Water Boilers 3. Low Speed Food Grinding Machines 4. Appliances for Heating Liquids 5. Electric Bean Slicers 6. Electric Berryjuice Extractors 7. Electric Can Openers 8. Electric Centrifugal Juicers 9. Electric Churns 10. Electric Citrusfruit Squeezers 11. Electric Coee Mills not exceeding 500g hoppercapacity 12. Electric Cream Whippers 13. Electric Egg Beaters 14. Electric Food Processors 15. Electric Grain Grinders not exceeding 3l hopper capacity 16. Electric Graters 17. Electric Ice Cream Machines, including those foruse in refrigerators and freezers 18. Electric Knife Sharpeners 19. Electric Knives 20. Electric Noodle Makers 21. Electric Potato Peelers 22. Electric Shredders 23.Electric Sieving Machines 24. Slicing Machines 25. Vacuum Cleaners and Water Suction Cleaning Appliances 26.Tumbler Dryers 27. Warming Plates and Similar Appliances 28. Massage Appliances 29. Electric Heating Tools 30.Electric Fence Energizers 31. Electric Call Bells and Buzzersfor Indoor Use 32. Electric Water Boilers 33. Electric Coee Makers 34. Electric Hot Plates 35. Single Walled Baking Ovens 36. Dishwashers 37. Floor Treatment Machines and Wet Scrubbing Machines 38. Food Waste Disposers 39.Blankets, Pads, Clothing and Similar Flexible Heating Appliances 40. Clothes Dryers and Towel Rails 41. Oral Hygiene Appliances 42. Sauna Heating Appliances and Infrared Cabins 43. Thermal Storage Room Heaters 44. Air-Cleaning Appliances 45. Fixed Immersion Heaters 46. Foot Warmers and Heating Mats 47. Fabric Steamers 48.Humidiers 49. Vaporizers 50. Skin Beauty Care Appliances",Classication,IS 302 (Part 1)
