0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Mobile Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter of Class 1 and 2,Meter Constant,"IS 16444 (Part 1) (Clause 6.12): 2017 and itsamendments Amendment-1 February-2017,Amendment 2 August-2019 & Amendment 3 November -2023"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter of Class 1 and 2,No Load Test,"IS 16444 (Part 1) (Clause 6.12): 2017 and itsamendments Amendment-1 February-2017,Amendment 2 August-2019 & Amendment 3 November -2023"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter of Class 1 and 2,Starting Condition,"IS 16444 (Part 1) (Clause 6.12): 2017 and itsamendments Amendment-1 February-2017,Amendment 2 August-2019 & Amendment 3 November -2023"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter of Class 1 and 2,Limits of Error,"IS 16444 (Part 1) (Clause 6.12): 2017 and itsamendments Amendment-1 February-2017,Amendment 2 August-2019 & Amendment 3 November -2023"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Energy Meter of Class 1 and 2,Limits of Error,IS 13779 (Clause 11.1):2020
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Energy Meter of Class 1 and 2,Meter Constant,IS 13779 (Clause 12.15) :2020
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Energy Meter of Class 1 and 2,No Load Test,IS 13779 (Clause 12.13) :2020
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Energy Meter of Class 1 and 2,Starting Condition,IS 13779 (Clause 12.14):2020
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,15-Minute Block Average Frequency Measurement Test,CBIP No. 325 (Clause 6.9(c - i)):2015
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,Limits of Error,IS 14697 (Clause 12.11):2021
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,Meter Constant,IS 14697 (Clause 12.14):2021
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,Meter Constant,IS 16444 (Part 2) (Clause 6.12): 2017 and itsamendment 1 April-2020
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,No Load Test,IS 14697 (Clause 12.12):2021
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,Reactive Energy Registration - Verication Test During Voltage High(V greater than 103%)and Voltage Low (V lessthan 97%),CBIP No:325(Clause 6.9(c-i)):2015
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Energy Meter of Class 0.2 S and 0.5 S,Starting Condition,IS 14697 (Clause 12.13):2021
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Smart Meter of Class 0.2 S and 0.5 S,Limits of Error,IS 16444 (Part 2) (Clause 6.12): 2017 and itsamendment 1 April-2020
17,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Smart Meter of Class 0.2 S and 0.5 S,No Load Test,IS 16444 (Part 2) (Clause 6.12): 2017 and itsamendment 1 April-2020
18,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Smart Meter of Class 0.2 S and 0.5 S,Starting Condition,IS 16444 (Part 2) (Clause 6.12): 2017 and itsamendment 1 April-2020
