0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Induction Motor,Stator Winding Resistance Test,IS 15999 (Part 2/ Sec 1)
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel Cage Induction Motor,High Voltage,IEC 60034-1
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel cage Induction Motor,High Voltage Test,IS 15999 (Part 1)
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel cage Induction Motor,Insulation Resistance Test,IS/IEC 60034-27-4
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel Cage Induction Motor,No Load Test at reduce Voltage to determine Speed & Input Current,IS 15999 (Part 2/ Sec 1)
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel Cage Induction Motor,"No load Test at rated Voltage to determine Input Power, Current &Speed",IS 15999-1
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel Cage Induction Motor,"No load Test at rated Voltage to determineinput Power,Current,Speed",IS 15999-1
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three phase Squirrel Cage Induction motor,No Load Test at reducedvoltage to determine Speed & Input Current,IS 15999 (Part 2/ Sec 1)
9,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase Squirrel cage Induction Motor,Noise Level Test,IS 12065
10,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three phase squirrel cage Induction Motor,Vibration Severity of themotor,IS 12075
11,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Roof Bolts (Rod),Core Diameter of the Bolt,"BS 7861-1, Point 4.1.1.3"
12,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Roof Bolts (Rod),Length of thread,"BS 7861-1, Point 5.1.2.1"
13,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Roof Bolts (Rod),Rib height of the Bolt,IS 1786
14,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Hydraulic Cylinder,Piston seal leakage test,IS 10585 (Cl. No. 9)
15,MECHANICAL-PERFORMANCE/DURABILITY/ SAFETY TEST,Hydraulic Cylinder,Proof /external leakage Test,IS 10585 (Cl. No.8.3)
