0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Determination of Sound Levels,"IS 11171, IEC 60076-11, NEMA-TR1, IS 1180 (Part 1), CBIPManual Pub. No. -317, IS 2026(Part 10), IEC 60076 (Part 10)"
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Determination of Transient Voltage Transfer Characterstics,"IS11171, IEC 60076-11, CBIPManual Pub. No. -317, IS 2026(Part 3 ), IEC 60076 (Part 3)"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Impulse Test for the lineterminals,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 3),IEC 60076 (Part 3)"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Induced AC withstand Voltagetest with partial Discharge,"IS 11171, IS 1180 (Part 1), CBIPManual Pub. No. -317, IS 2026(Part 3), IEC 60076 (Part 3)"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Magnetic Balance Test on 3 Phase Transformer,CBIP Manual Pub. No. -317
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Magnetic Circuit (Isolation)Test,"CBIP Manual Pub. No. -317, IS2026 (Part 1), IEC 60076 (Part 1)"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measrement of Zero Phase-Sequence Impedance on 3 Phase Transformers,"CBIP Manual Pub. No. -317, IS2026 (Part 1), IEC 60076 (Part 1)"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Capacitance &Dissipation Factor (Tan-Delta),"CBIP Manual Pub. No. -317, IS2026 (Part 1), IEC 60076 (Part 1)"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Capacitance &Dissipation Factor (Tan-Delta),"CBIP Manual Pub. No. -317, IS2026 (Part 1), IEC 60076 (Part 1)"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Harmonics of No-Load Current,"CBIP Manual Pub. No. -317 , IS2026 (Part 1), IEC 60076 (Part 1)"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Insulation Resistance of Windings,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Magnetising Current at Low Voltage,CBIP Manual Pub. No. -317
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of No Load Loss& Current,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of No Load Loss& Current,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Short-Circuit Impedance and Load Loss,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
16,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Short-Circuit Impedance and Load Loss,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
17,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Voltage Ratio& Check of Phase Displacement,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
18,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Measurement of Winding Resistance,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 1),IEC 60076 (Part 1)"
19,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Separate Source AC withstand Voltage Test (Applied Potential Test),"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317, IS 2026 (Part 3),IEC 60076 (Part 3)"
20,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Sweep Frequency Response Analysis (SFRA) Test,"CBIP Manual Pub. No. -317, IEC60076 (Part 18)"
21,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Tesmperature Rise Test,"IS 11171, IEC 60076-11, CBIPManual Pub. No. -317, IS 1180(Part 01 ), IS 2026 (Part 2), IEC60076 (Part 2)"
22,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Tests on ON-Load Tap-Changers,"CBIP Manual Pub. No. -317, IS2026 (Part 1), IEC 60076 (Part 1)"
23,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power transformers, Distribution Transformer, Dry Type Power Transformer",Verication of Vector Group &Polarity Checks,"IS 11171, IEC 60076-11, IS1180 (Part 1), CBIP Manual Pub. No. -317 , IS 2026 (Part 1), IEC 60076 (Part 1)"
