0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Zinc Coated Iron and Steel Articles,Locating Thinnest Spot,ASTM A239
2,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Zinc Coated Iron and Steel Articles,Mass of Zinc Coating,ASTM A90 /A90 M
3,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Zinc Coated Iron and Steel Articles,Mass of Zinc Coating,IS 6745
4,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Zinc Coated Iron and Steel Articles,Mass of Zinc Coating,ISO 1460
5,CHEMICAL- METALLICCOATINGS & TREATMENTSOLUTIONS,Zinc Coated Iron and Steel Articles,Uniformity of Coating,IS 2633
6,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,3 Phase Induction Motor,Withstand Voltage Test (5 k V),IS/IEC 60034 (Part 1)
7,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,Low Voltage Panel,High Voltage Test (5 k V),IS/IEC 61439-1
8,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,Low Voltage Panel,"Insulation Resistance (2 M-Ohm, 500 V)",IS/IEC 61439-1
9,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,Luminaries,Electrical Strength (5 k V),IS 10322 (Part 1)
10,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,Luminaries,"Insulation Resistance (2 M-Ohm, 500 V)",IS 10322 (Part 1)
11,ELECTRICAL- HIGHVOLTAGE TEST FACILITY,Three Phase Induction Motor,"Insulation Resistance (200 M-Ohm, 500 V)",IS 7816
12,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,% Elongation,BS EN ISO 6892-1
13,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,% Elongation,IS 1608 (Part 1)
14,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,"Bend Test (Mandrel Diameter 6, 8, 10, 12, 14, 16, 20, 24, 28,30, 32, 40, 44, 50, 60 mm)",IS 1599
15,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,Tensile Strength,BS EN ISO 6892-1
16,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,Yield Strength,BS EN ISO 6892-1
17,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Material,Yield Strength,IS 1608 (Part 1)
18,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Ferrous Metal,Tensile Strength,IS 1608 (Part 1)
19,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Swaged Pole,Deection Test,"IS 2713 (Part 1,Part 2, Part 3)"
20,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Swaged Pole,Drop Test,"IS 2713 (Part 1,Part 2, Part 3)"
21,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Swaged Pole,Permanent Set Test,"IS 2713 (Part 1,Part 2, Part 3)"
22,NON-DESTRUCTIVE-METALS & ALLOYS,Welded Structures,Liquid Penetrant Examination(Visible Method),ASME Section V
23,NON-DESTRUCTIVE-METALS & ALLOYS,Welded Structures,Liquid Penetrant Examination(Visible Method),AWS D1.1
24,NON-DESTRUCTIVE-METALS & ALLOYS,Welded Structures,Magnetic Particle Examination(Visible),ASME Section V
25,NON-DESTRUCTIVE-METALS & ALLOYS,Welded Structures,Magnetic Particle Examination(Visible),AWS D1.1
