0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Abnormal operation,"EN 60335-2-14:2006/A1,Cl. No. 19"
2,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Abnormal operation,"IEC60335-2-14:2016/AMD1,Cl. No. 19"
3,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,"Clearances, creepagedistances and solidinsulation","EN 60335-2-14:2006/A1,Cl. No. 29"
4,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,"Clearances, creepagedistances and solidinsulation","IEC60335-2-14:2016/AMD1,Cl. No. 29"
5,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Components,"EN 60335-2-14:2006/A1,Cl. No. 24"
6,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Components,"IEC60335-2-14:2016/AMD1,Cl. No. 24"
7,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Construction,"EN 60335-2-14:2006/A1,Cl. No. 22"
8,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Construction,"IEC60335-2-14:2016/AMD1,Cl. No. 22"
9,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Heating,"EN 60335-2-14:2006/A1,Cl. No. 11"
10,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Heating,"IEC60335-2-14:2016/AMD1,Cl. No. 11"
11,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Internal wiring,"EN 60335-2-14:2006/A1,Cl. No. 23"
12,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Internal wiring,"IEC60335-2-14:2016/AMD1,Cl. No. 23"
13,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Leakage current andelectric strength,"EN 60335-2-14:2006/A1,Cl. No. 16"
14,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and similar electrical appliances -Safety - Part 2-14: Particular requirements forkitchen machines,Leakage current andelectric strength,"IEC60335-2-14:2016/AMD1,Cl. No. 16"
