0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
3,BIOLOGICAL-ANTIMICROBIAL ACTIVITYPRODUCTS,Toys,Preservative Eectivenes Tests,Clause 7 ISO 8124-12
4,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,Aerobic Mesophilic Bacterial Count,Clause 6 a) ISO 8124-12
5,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,Candida albicans,Clause 6 c) ISO 8124-12
6,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,E.coli,Clause 6 c) ISO 8124-12
7,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,Enumeration of Yeast and Mould Count,Clause 6 a) ISO 8124-12
8,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,Pseudomonas aeroginosa,Clause 6 c) ISO 8124-12
9,BIOLOGICAL- BIOLOGICALTESTS ON OTHERMISCELLANEOUS TESTITEMS,Toys,Staphylococcus aureus,Clause 6 c) ISO 8124-12
10,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Injections and API,Bacterial Endotoxins Test (Gelclot Method),"USP-NF, Issue 1: Chapter 85"
11,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Injections and API,Bacterial Endotoxins Test (Gelclot Method),BP 2024 Appendix XIV C
12,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Injections and API,Bacterial Endotoxins Test (Gelclot Method),IP 2022 Test Method 2.2.3
13,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Puried water (Drugs and Pharmaceuticals),E.coli,"USP-NF, Issue 1, Chapter 1231"
14,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Puried water (Drugs and Pharmaceuticals),Pseudomonas aeruginosa,"USP-NF , Issue 1 , Chapter 1231"
15,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Puried water (Drugs and Pharmaceuticals),Staphylococcus aureus,"USP-NF, Issue 1, Chapter 1231"
45,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,"Syrups, Injections, Suspensions, Oral Products, Antacids",Eectiveness of Antimicrobialpreservatives,"USP-NF, Issue 1, Chapter 51"
46,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,"Syrups, Injections, Suspensions, Oral Products, Antacids",Eectiveness of Antimicrobialpreservatives,BP 2024 Appendix XVI C : 2024
47,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,"Syrups, Injections, Suspensions, Oral Products, Antacids",Eectiveness of Antimicrobialpreservatives,IP 2022 Test Method 2.2.2
48,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Water for Injection (Drugs and Pharmaceuticals),Bacterial Endotoxins Test (Gelclot Method),BP 2024 Appendix XIV C
49,BIOLOGICAL- DRUGS ANDPHARMACEUTICALS,Water for Injection (Drugs and Pharmaceuticals),Bacterial Endotoxins Test (Gelclot Method),IP 2022 Test Method 2.2.3
