0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Abnormal operation,"(Clause no. 19), EN60335-2-65:2003/A12:2022"
2,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Abnormal operation,"(Clause no. 19), IEC60335-2-65:2002+A1:2008 + A2:2015"
3,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,"Clearance, creepagedistances and solidinsulation","(Clause no. 29), EN60335-2-65:2003/A12:2022"
4,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,"Clearance, creepagedistances and solidinsulation","(Clause no. 29), IEC60335-2-65:2002+A1:2008 + A2:2015"
5,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Heating,"(Clause no. 11), EN60335-2-65:2003/A12:2022"
6,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Heating,"(Clause no. 11), IEC60335-2-65:2002+A1:2008 + A2:2015"
7,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Leakage current andelectric strength atoperating temperature,"(Clause no. 13), EN60335-2-65:2003/A12:2022"
8,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Leakage current andelectric strength atoperating temperature,"(Clause no. 13), IEC60335-2-65:2002+A1:2008 + A2:2015"
9,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Marking & instructions,"(Clause no. 7), EN60335-2-65:2003/A12:2022"
10,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Marking & instructions,"(Clause no. 7), IEC60335-2-65:2002+A1:2008 + A2:2015"
11,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Mechanical strength,"(Clause no. 21), EN60335-2-65:2003/A12:2022"
12,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Mechanical strength,"(Clause no. 21), IEC60335-2-65:2002+A1:2008 + A2:2015"
13,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Moisture resistance,"(Clause no. 15), EN60335-2-65:2003/A12:2022"
14,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Moisture resistance,"(Clause no. 15), IEC60335-2-65:2002+A1:2008 + A2:2015"
15,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Overload protection oftransformers andassociated circuits,"(Clause no. 17), EN60335-2-65:2003/A12:2022"
16,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Overload protection oftransformers andassociated circuits,"(Clause no. 17), IEC60335-2-65:2002+A1:2008 + A2:2015"
17,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Power input & current,"(Clause no. 10), EN60335-2-65:2003/A12:2022"
18,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Air-cleaning appliances,Power input & current,"(Clause no. 10), IEC60335-2-65:2002+A1:2008 + A2:2015"
