0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Leather products, ,Paints, Plastics & other polymeric products,Textile & Textile products",Lead content (in Plastic/Glass/ Ceramic samples),CPSC- CH-E1002- 08.3:2012
2,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Leather products, ,Paints, Plastics & other polymeric products,Textile & Textile products",Lead Contents in Surface Coating,CPSC- CH-E1003- 09.1:2011
3,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,California Proposition 65 - Metal Products,Lead content in children s(metal product includingchildren s metal Jewelry.),CPSC- CH-E1001- 08.3:2012
4,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Metal Products, Paints& Surface coating, Non-metal - Plastics & otherpolymeric products, Textile & Textile products",Cadmium (Cd),"CPSC- CH-E1002- 08.3:2012 (For Non-metal),CPSC- CH-E1001- 08.3:2012 (For metal), CPSC-CH-E1003- 09.1: 2011(Paint and surfacecoating): 2012"
5,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products","Tri-(2,3-dibromopropyl)-phosphate TRIS",ISO 17881-2: --Select--
6,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Benzyl benzoate,CPSC-CH-C1001-09.4: --Select--
7,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Bis(2-Ethylhexyl)phthalates,CPSC-CH-C1001-09.4: --Select--
8,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Bis(2-methoxyethyl)phthalate,CPSC-CH-C1001-09.4: --Select--
9,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Bisphenol A,MS-0039064 : --Select--
10,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Butyl benzyl phthalate,CPSC-CH-C1001-09.4: --Select--
11,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Dibutyl phthalate,CPSC-CH-C1001-09.4: --Select--
12,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Di-decyl phthalate,CPSC-CH-C1001-09.4: --Select--
13,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Di-ethyl phthalate,CPSC-CH-C1001-09.4: --Select--
14,CHEMICAL-HAZARDOUS &RESTRICTEDCHEMICALS,"California Proposition 65 - Paints, Plastics & otherpolymeric products",Di-iso-butyl Phthalate,CPSC-CH-C1001-09.4: --Select--
