0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,"Microwave Ovens, Combination Microwave Ovens",Construction,"Clause 22.45 of IEC60335-2-25: 2020, EN IEC60335-2-25: 2021 + AMD11: 2021, IS 302-2-25:2014"
2,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,"Microwave Ovens, Combination Microwave Ovens",Terminals for External Conductors,"Clause 26.7 of IEC60335-2-25: 2020, EN IEC60335-2-25: 2021 + AMD11: 2021, IS 302-2-25:2014"
3,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Eelectrical Appliances,Supply Connection and External Flexible Cords,"Clause 25.10 of IEC60335-1: 2020, IEC60335-1: 2010 + AMD 1:2013 + AMD 2: 2016, ENIEC 60335-1: 2023 + AMD11: 2023, IS 302-1: 2008,UL 60335-1: 2016"
4,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Eelectrical Appliances,Terminals for External Conductors,"Clause 26.2 of IEC60335-1: 2020, IEC60335-1: 2010 + AMD 1:2013 + AMD 2: 2016, ENIEC 60335-1: 2023 + AMD11: 2023, IS 302-1: 2008,UL 60335-1: 2016"
5,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Abnormal Operation,"Clause 19 of IEC 60335-1:2020, IEC 60335-1: 2010+ AMD 1: 2013 + AMD 2:2016, EN IEC 60335-1:2023 + AMD 11: 2023, IS302-1: 2008, UL 60335-1:2016"
6,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Abnormal Operation,"Clause 19.11 of IEC60335-1: 2020, IEC60335-1: 2010 + AMD 1:2013 + AMD 2: 2016, ENIEC 60335-1: 2023 + AMD11: 2023, IS 302-1: 2008,UL 60335-1: 2016"
7,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Abnormal Operation,"Clause 19.11 of IEC60335-1: 2020, IEC60335-1: 2010 + AMD 1:2013 + AMD 2: 2016, ENIEC 60335-1: 2023 + AMD11: 2023, IS 302-1: 2008,UL 60335-1: 2016"
8,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Abnormal Operation,"Clause 19.12 of IEC60335-1: 2020, IEC60335-1: 2010 + AMD 1:2013 + AMD 2: 2016, ENIEC 60335-1: 2023 + AMD11: 2023, IS 302-1: 2008,UL 60335-1: 2016"
9,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Abnormal Operation,"Clause 19.13 of IEC60335-1: 2020, EN IEC60335-1: 2023 + AMD 11:2023"
10,ELECTRICAL-DOMESTICELECTRICALAPPLIANCES,Household and Similar Electrical Appliances,Classication,"Clause 6 of IEC 60335-1:2020, IEC 60335-1: 2010+ AMD 1: 2013 + AMD 2:2016, EN IEC 60335-1:2023 + AMD 11: 2023, IS302-1: 2008, UL 60335-1:2016"
