0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Thickness of Insulation,"IS 10810 (Part 6), IS14255 Cl.7.2 & Cl.10.1(e)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Ageing in Air Oven for Insulation - Tensile Strength Variation,"IS 10810 (Part 11), IS14255 Cl.10.1(c)(ii)"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Ageing in Air oven Insulation Elongation at Break Variation(Insulation),"IS 10810 (Part 11), IS14255 Cl.10.1(c)(ii)"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Bending Test on the Completed Cable,IS 14255 Cl.11.4
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Breaking load (Messenger Conductor),"IS 10810 (Part 2), IS14255, Cl.10.1(b)(i)"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Elongation (Messenger Conductor),"IS 14255, Cl.11.3 &Cl.10.1(b)(ii)"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Elongation at Break(Insulation),"IS 10810 (Part 7), IS14255 Cl.5.1 &Cl.10.1(c)(i),(d)(i)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Hot Set Test - Permanent(Insulation),"IS 10810 (Part 30), IS14255 Cl.10.1(c)(iii)"
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Hot Set Test - Under Load(Insulation),"IS 10810 (Part 30), IS14255 Cl.10.1(c)(iii)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Insulation Resistance(Volume Resistivity),"IS 10810 (Part 43), IS14255 Cl.10.1(f)"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Resistance Test (for Phase/Street Light Conductor),"IS 10810 (Part 5), IS14255 Cl.10.1(a)(iii)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Resistance Test(Messenger Conductor),"IS 10810 (Part 5), IS14255"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Shrinkage Test (For Sheath),"IS 10810 (Part 12), IS14255 Cl.10.1(c)(iv)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Tensile Strength(Insulation),"IS 10810 (Part 7), IS14255 Cl.5.1&Cl.10.1(c)(i),(d)(i)"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for Working Voltages up toand including 1100 V,Tensile Test (for Phase/Street Light Conductor),"IS 10810 (Part 2), IS14255, Cl.10.1(a)(i)"
