0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automobile Components / Assembly, Electricaland Electronic items",Dry Heat test,IS 9000 (Part III)
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic item",Change of Temperature(Temperature Cycling),IEC 60068-2-14 (Only Nb Test)
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic item",Damp Heat test,ISO 16750-4
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Change of Temperature(Temperature Cycling),ISO 16750-4
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Cold test,IEC 60068-2-1
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive components / Assembly, Electricaland Electronic items",Cold test,ISO 16750-4
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Combined Temperatureand Sine vibration,ISO 16750-3
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Damp Heat test,IEC 60068-2-78
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Damp Heat test,IS 9000 (Part IV)
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive components / Assembly, Electricaland Electronic items",Dry Heat test,IEC 60068-2-2
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Dry Heat test,ISO 16750-4
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Sine Vibration,IEC 60068-2-6
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Sine Vibration,JIS D 1601
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Temperature Shock /Rapid change of Temperature withprescribed time oftransfer,IEC 60068-2-14 (Only Na Test)
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive Components / Assembly, Electricaland Electronic items",Temperature Shock /Rapid change of Temperature withprescribed time oftransfer,ISO 16750-4
