0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T1 : Altitude Simulation,UN 38.3 Clause. 4.1:
2,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T2 : Thermal Test,UN 38.3 Clause. 4.2:
3,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T3 : Vibration,UN 38.3 Clause. 4.3:
4,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T4 : Shock,UN 38.3 Clause. 4.4:
5,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T5 :External Short Circuit,UN 38.3 Clause. 4.5
6,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T6 (a) : Impact & (Crush),UN 38.3 Clause. 4.6:
7,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T7 : Over Charge,UN 38.3 Clause. 4.7:
8,ELECTRICAL- CELLS &BATTERIES,"Secondary cells & Batteries Lithium Ion cells & batteries,",T8 : Forced Discharge,UN 38.3 clause 4.8:
9,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,case stress at high ambienttemperature(Batteries,"IEC 62133-2 : 2021 CSV , Cl-7.2.2:"
10,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,case stress at high ambienttemperature(Batteries,"IS 16046 (Part 2) : 2018 / IEC62133-2 : 2017, Cl- 7.2.2:"
11,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Charging procedure -Discharging,"IEC 62133-2 : :2021 CSV, Cl-7.1:"
12,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Charging procedure -Discharging,"IS 16046 (Part 2) : 2018 / IEC62133-2 : 2017, Cl-7.1:"
13,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Charging Procedures for testpurposes- Second Procedure,"IEC 62133-2 :2021 CSV, Cl-7.1.2:"
14,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Charging Procedures for testpurposes- Second Procedure,"IS 16046 (Part 2) : 2018 / IEC62133-2 : 2017, Cl- 7.1.2:"
15,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Continuous charge,"IEC 62133-2 :2021 CSV, Cl-7.2.1:"
16,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Continuous charge,"IS 16046 (Part 2) : 2018 / IEC62133-2 : 2017, Cl- 7.2.1:"
17,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Crushing of cells,"IEC 62133-2 :2021 CSV, Cl- 7.3,Cl-7.3.5:"
18,ELECTRICAL- CELLS &BATTERIES,Secondary Lithium system cells & batteries,Crushing of cells,"IS 16046 (Part 2) : 2018 / IEC62133-2 : 2017, Cl-7.3,Cl-7.3.5:"
