0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Electrical & Electronic product containing polymer under ROHS regulation.,Determination of certainphthalate substances inelectrotechnical products by GCMS / LCMSMS,"(2002/95/EC & 2011/65/EU),IEC 62321-8: 2017"
2,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,General Requirement Visual Check,Clause 4.1 of EN71-7:2014+A3: 2020
3,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,General Requirement Visual Check,Clause 4.1 of IS 9873-7: 2017
4,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,General Requirement Visual Check,Clause 4.1 of ISO 8124-7: 2015
5,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,Impurities in Finger Paints:Benzo (a) Pyrene (CAS No.50-32-8),Clause 4.5.2 of EN71-7:2014+A3: 2020
6,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,Impurities in Finger Paints:Benzo (a) Pyrene (CAS No.50-32-8),Clause 4.5.2 of IS 9873-7: 2017
7,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,Impurities in Finger Paints:Benzo (a) Pyrene (CAS No.50-32-8),Clause 4.5.2 of ISO 8124-7:2015/Amd.1: 2020
8,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,Labelling guideline,EN 71-7:2014+A3: 2020
9,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,"N-Nitrosamines: N-nitrosodiethanolamine(NDELA), CAS No.:1116-54-7",Clause 4.9 of EN71-7:2014+A3: 2020/EN 71(Part 12): 2016
10,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,"N-Nitrosamines: N-nitrosodiethanolamine(NDELA), CAS No.:1116-54-7",Clause 4.9 of IS 9873-7: 2017
11,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,"N-Nitrosamines: N-nitrosodiethanolamine(NDELA), CAS No.:1116-54-7",Clause 4.9 of ISO 8124-7: 2015
12,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,p H Value,"(ISO 787-9: 2019), Clause 4.7of IS 9873-7: 2017"
13,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,p H Value,Clause 4.7 of EN71-7:2014+A3: 2020
14,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,p H Value,ISO 8124-7: 2015/Amd.1: 2020
15,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,"Preservatives: 2-phenylphenol(OPP), MIT, Triclosan",Clause 4.3 of EN71-7:2014+A3: 2020
16,CHEMICAL- HAZARDOUS& RESTRICTEDCHEMICALS,Finger Paint,"Preservatives: 2-phenylphenol(OPP), MIT, Triclosan",Clause 4.3 of IS 9873-7: 2017
