0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted Emission Test (CE),"BS EN IEC 61800-3, Clause 6.4"
2,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted Emission Test (CE),"EN IEC 61800-3, Clause 6.4"
3,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted Emission Test (CE),"IEC 61800-3 (Ed 4.0), Clause 6.4"
4,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted RF Immunity Test,"BS EN IEC 61800-3, Clause 6.3"
5,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted RF Immunity Test,"EN IEC 61800-3, Clause 6.3"
6,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Conducted RF Immunity Test,"IEC 61800-3 (Ed 4.0), Clause 5.3"
7,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrical Fast Transient (EFT) /Burst Immunity Test,"BS EN IEC 61800-3, Clause 6.3"
8,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrical Fast Transient (EFT) /Burst Immunity Test,"IEC 61800-3 (Ed 4.0), Clause 5.3"
9,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrical Fast Transient (EFT);Burst Immunity Test,"EN IEC 61800-3, Clause 6.3"
10,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrostatic Discharge Immunity Test,"BS EN IEC 61800-3, Clause 6.3"
11,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrostatic Discharge Immunity Test,"EN IEC 61800-3, Clause 6.3"
12,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Electrostatic Discharge Immunity Test,"IEC 61800-3 (Ed 4.0), Clause 5.3"
13,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Harmonic Current Emission Test,"BS EN IEC 61800-3, Clause 6.3"
14,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Harmonic Current Emission Test,"EN IEC 61800-3, Clause 6.3"
15,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,Harmonic Current Emission Test,"IEC 61800-3 (Ed 4.0), Clause 6.3"
16,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,"Harmonics and Inter-harmonicsincluding mains signaling at ACpower port, low frequencyimmunity tests","BS EN IEC 61800-3, Clause 6.3"
17,ELECTRONICS- EMC TESTFACILITY,Adjustable speed power drive systems (PDSs) and machinetools,"Harmonics and Inter-harmonicsincluding mains signaling at ACpower port, low frequencyimmunity tests","EN IEC 61800-3, Clause 6.3"
