0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- LUBRICANTS,Transformer Oil,Acidity (neutralization value),IEC 62021-1
2,CHEMICAL- LUBRICANTS,Transformer Oil,Breakdown voltage,IEC 60156
3,CHEMICAL- LUBRICANTS,Transformer Oil,Dielectric dissipation factor(DDF),IEC 60247
4,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Acetylene,IEC 60567: 2023; IEC 60599
5,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Carbon Dioxide,"IEC 60567: 2023, IEC 60599"
6,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Carbon Monoxide,IEC 60567: 2023; IEC 60599
7,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Ethane,IEC 60567: 2023; IEC 60599
8,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Ethylene,IEC 60567: 2023; IEC 60599
9,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Hydrogen,IEC 60567: 2023; IEC 60599
10,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Methane,IEC 60567: 2023; IEC 60599
11,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Nitrogen,IEC 60567: 2023; IEC 60599
12,CHEMICAL- LUBRICANTS,Transformer Oil,Dissolved Gas Analysis-Oxygen,IEC 60567: 2023; IEC 60599
13,CHEMICAL- LUBRICANTS,Transformer Oil,Flash Point,ISO 2719
14,CHEMICAL- LUBRICANTS,Transformer Oil,Interfacial Tension (IFT),ASTM D971
15,CHEMICAL- LUBRICANTS,Transformer Oil,Resistivity,IEC 60247
16,CHEMICAL- LUBRICANTS,Transformer Oil,Sediment and Sludge,IS 1866 Annex C
17,CHEMICAL- LUBRICANTS,Transformer Oil,Water content,IEC 60814
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC direct connected Static prepayment Meters for Active Energy Class 1 and 2;,Test of meter constant,"IS13779:1999 A.1 to 5 Cl.12.15(Withdrawn), IS15884:2010 Cl.5.6.5, IEC62055 -31 Cl.8.0,:2005"
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c Static Direct Connected Watthour Smart Meter Class 1and Class 2,Smart Meter Functional Requirements,Cl.11 of IS 16444 (Part 1)- 2015 Amd 1 -2017 Amd 2
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC direct connected Static prepayment Meters for Active Energy Class 1 and 2; AC.Static Direct Connected Watthour Smart Meter Class 1 and 2;,Inuence of heating,"IS15884:2010 Cl.5.4.5,IEC62055 -31:2005 Cl.7.5,IS16444 (Part 1): 2015 A.1& 2 Cl.6.10.5, IEC62052-31:Cl.10.4,"
