0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Annealing Test,GR/CUG/01-03 AUG 2003(Clause No. 20.1)
2,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Attenuation,GR/CUG/01-03 AUG 2003(Clause No. 19.6)
3,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Bond Strength of Composite Sheath,GR/CUG/01-03 AUG 2003(Clause No. 24.3)
4,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Capacitance Unbalance(Pair to Ground),GR/CUG/01-03 AUG 2003(Clause No. 19.4.1)
5,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Capacitance Unbalance(Pair to Pair),GR/CUG/01-03 AUG 2003(Clause No. 19.4.2)
6,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Conductor Resistance Test,GR/CUG/01-03 AUG 2003(Clause No. 19.1.2)
7,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Conductor Resistance Unbalance Test,GR/CUG/01-03 AUG 2003(Clause No. 19.1.3)
8,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Dielectric Strength,GR/CUG/01-03 AUG 2003(Clause No. 19.8)
9,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Far End Cross Talk(ELFEXT),GR/CUG/01-03 AUG 2003(Clause No. 19.5.1)
10,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Insulation Resistance,GR/CUG/01-03 AUG 2003(Clause N0. 19.7)
11,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Mutual Capacitance,GR/CUG/01-03 AUG 2003(Clause No. 19.3)
12,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Near End Cross Talk(NEXT),GR/CUG/01-03 AUG 2003(Clause No. 19.5.2)
13,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Resistance to Compression,GR/CUG/01-03 AUG 2003(Clause No. 22.2)
14,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Retraction of Insulation,GR/CUG/01-03 AUG 2003(Clause No. 22.1)
15,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Shrink Back of Insulation,GR/CUG/01-03 AUG 2003(Clause No. 22.3)
16,ELECTRICAL- CABLES& WIRES,Jelly Filled Telephone Cable (JFTC),Thermal Stress Cracking,GR/CUG/01-03 AUG 2003(Clause No. 22.4)
17,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Fibre Reinforced Plastic (FRP) Rod,Minimum Bend Diameter,TEC 89010 (Section-II)
18,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Fibre Reinforced Plastic (FRP) Rod,Tensile Strength,ASTM D638 (Clause No. 7)
