0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Elongation at break of Insulation,"IS 14255 (Cl No: 10.1ci ,di& 10.2g) Rearmed:2020"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Shrinkage test of Insulation,IS 14255 (Cl No: 10.1civ)Rearmed:2020
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Tensile strength of Insulation and sheath,"IS 14255 (Cl No: 10.1ci ,di& 10.2g) Rearmed:2020"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Ageing in air oven of Insulation,IS 14255 (Cl No: 10.1cii)Rearmed:2020
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Carbon Black content,IS 14255 (Cl No: 10.1cvi 1& diii 1) Rearmed:2020
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Conductor construction/Examination,IS 14255 (Cl No:4 & 6)Rearmed:2020 & IS:8130
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,High Voltage Test,"IS 14255 (Cl No: 10.1g ,10.2k ,10.3b & 11.2)Rearmed:2020"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Insulation Resistance(Volume Resistivity),IS 14255 (Cl No: 10.1f &10.2j) Rearmed:2020
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Thickness of Insulation,"IS 14255 (Cl No:10.1e,10.2f & 7.2)Rearmed:2020"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts .,Water absorption Test oninsulation (Gravimetric),IS 14255 (Cl No:10.1cv)Rearmed:2020
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts.,Conductor Resistance Test,"IS 14255 (Cl No: 10.1aiii ,b iii , 10.2 e & 10.3a)Rearmed:2020"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched cables for working voltages up toand including 1100 Volts.,Hot set test,IS 14255 (Cl No: 10.1ciii &10.2h) Rearmed:2020
13,ELECTRICAL- CABLES& WIRES,Aluminium conductors (Aluminium Alloy Strandedconductors Aluminium-Magnesium-Silicon type)for overhead transmission,Breaking Load,IS 398 Part-4 (Cl No:12.2)Rearmed:2021
14,ELECTRICAL- CABLES& WIRES,Aluminium conductors (Aluminium Alloy Strandedconductors Aluminium-Magnesium-Silicon type)for overhead transmission,Elongation,IS 398 Part-4 (Cl No:12.3)Rearmed:2021
15,ELECTRICAL- CABLES& WIRES,Aluminium conductors (Aluminium Alloy Strandedconductors Aluminium-Magnesium-Silicon type)for overhead transmission,Resistance Test,IS 398 Part-4 (Cl No:12.4)Rearmed:2021
