0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors,Conductor Diameter & Overall Dimension,"Table 1 of IS 8783 (Part 1)Amendment no. 2, Cl. 3.1, 4.4& Table 1 of IS 8783 (Part 4/Sec 1), Cl. 4.1(1) Annex A Cl.A-7.1 & 4.3(1) Annex A Cl.A-7.2 of IS 8783 (Part 3)"
2,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors,Water Absorption Test,"Table 1(vi) of IS 8783 (Part 2),IS 10810 (Part 33)"
3,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Elongation at Break (PVCInsulation & sheath),"Table 1 (iii) of IS 8783 (Part 2),Cl 5.4 & 8.4 and Table 1 (iii)c)1)(, d)1) of IS 694, Table 1 &Table 2 of IS 5831, IS 10810(Part 7)"
4,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Heat Shock Test,"Table 1(ix) of IS 8783 (Part 2),IS 694, (Table 1(iii)c)5),d)5) of IS 5831, IS:10810(Part 14)"
5,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Hot Deformation Test,"Table 1, (viii) of IS 8783 (Part 2), IS 694, (Table -1 (iii)c)6),d)6) of IS 5831, IS : 10810 (Part 15 )"
6,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Insulation Resistance Constant/Volume Resistivity,"Table 1 (i) of IS 8783 (Part 2),IS 694, Table 1 (iii)e)3 ) & IS5831, IS 10810 (Part 43)"
7,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Shrinkage Test,"Table 1 (v) of IS 8783 (Part 2),IS 694, Table 1(iii)c)4),d)4) of IS 10810 (Part 12)"
8,ELECTRICAL- CABLES &WIRES,HR PVC Insulated Winding Wires for Submersible Motors &Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords With Rigid and Flexible Conductor for Rated Voltages Up to and Including 1100 V,Tensile Strength (PVCInsulation & sheath),"Table 1 (iii) of IS 8783 (Part 2),Cl 5.4 & 8.4 and Table 1 (iii)c)1)(, d)1) of IS 694 , Table 1 &Table 2 for IS 5831, IS 10810(Part 7)"
