0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Harmonics of No Load Current,IS 2026 (Part-1)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Induced Over Voltage Withstand,IS 1180 (Part-1) & IS 2026(Part-3)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Insulation Resistance,IS 1180 (Part-1) & IS 2026(Part-1)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Load Losses at 50% and 100% loading,IS 1180 (Part-1) & IS 2026(Part-1)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,No Load Current at 112.5% Voltage,IS 1180 (Part-1)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,No Load Loss and Current Measurement at Rated Voltage,IS 1180 (Part-1) & IS 2026(Part-1)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Separate Source Voltage Withstand,IS 1180 (Part-1) & IS 2026(Part-3)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Short Circuit Impedance,IS 1180 (Part-1) & IS 2026(Part-1)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Temperature Rise,IS 1180 (Part-1) & IS 2026(Part-2)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transformers,Voltage Ratio and Checkof Phase Displacement,IS 1180 (Part-1) & IS 2026(Part-1)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transforrmers,Capacitance,IS 2026 (Part-1) & CBIPManual No. 317
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power & Distribution Transforrmers,Dissipation Factor (Tan Delta) & Capacitance,IS 2026 (Part-1) & CBIPManual No. 317
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power and Distribution Transformers,Winding Resistance,IS 1180 (Part-1) & IS 2026(Part-1)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power and Distribution Transformers,Zero Phase Sequence Impedance on Three Phase Transformers,IS 2026 (Part-1)
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,Power& Distribution Transformers,Magnetic Balance on 3 Phase Transformers,"CBIP Manual No. 317,Clause 3.17"
