0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,AIS 004 (Part 3)
2,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,Amendment No. 1 to AIS 004(Part 3)
3,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ECE R-10 Rev. 04 (Annexure 9)
4,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ECE R-10 Rev. 05 (Annexure 9)
5,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ECE R-10 Rev. 06 (Annexure 9)
6,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ISO 11452-4 (Edition 5.0)
7,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ISO 11452-4 (Fourth edition)(withdrawn)
8,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ISO 11452-4 (Second edition)(withdrawn)
9,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,ISO 11452-4 (Third edition)(withdrawn)
10,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Bulk Current Injection,SAE J1113-4
11,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Currentprobe method,CISPR 25 (Edition 2.0)(withdrawn)
12,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Currentprobe method,CISPR 25 (Edition 3.0)(withdrawn)
13,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Currentprobe method,CISPR 25 2016 (Edition 4.0)(withdrawn)
14,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Currentprobe method,CISPR 25 2021 (Edition 5.0)
15,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Voltagemethod,CISPR 25 (Edition 2.0)(withdrawn)
16,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Voltagemethod,CISPR 25 2008 (Edition 3.0)(withdrawn)
17,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Voltagemethod,CISPR 25 2016 (Edition 4.0)(withdrawn)
18,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,Conducted emissions - Voltagemethod,CISPR 25 2021 (Edition 5.0)
19,ELECTRONICS- EMC TESTFACILITY,Electronic Sub Assembly for Automobiles,"Electrical loads (Discontinuitiesin supply voltage (momentarydrop in supply voltage, Resetbehavior at voltage drop,Starting prole), DC supplyvoltage, Overvoltage, Slowincrease and decrease ofsupply voltage, Reversedvoltage, Ground reference andsupply oset, Short-circuitprotection, Open circuit test)",ISO 16750-2 (Edition 4.0)(Withdrawn)
