0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-CORROSION TESTS,"Decorative Copper/ Nickel/ Chromium Coating on Steel, Zinc and Aluminium Alloys",Copper Accelerated Acetic Acid Salt Spray(CASS) Test,ASTM B368
2,CHEMICAL-CORROSION TESTS,"Decorative Copper/ Nickel/ Chromium Coating on Steel, Zinc and Aluminium Alloys",Copper Accelerated Acetic Acid Salt Spray(CASS) Test,JIS Z2371
3,CHEMICAL-CORROSION TESTS,"Decorative Copper/ Nickel/ Chromium Coating on Steel, Zinc and Aluminium Alloys/ Anodic and Organic Coating on Aluminium",Copper Accelerated Acetic Acid Salt Spray(CASS) Test,ISO 9227
4,CHEMICAL-CORROSION TESTS,"Decorative Copper/ Nickel/ Chromium Coating on Steel, Zinc and Aluminium Alloys/ Anodic and Organic Coating on Aluminium",Copper Accelerated Acetic Acid Salt Spray(CASS) Test,JIS H8502
5,CHEMICAL-CORROSION TESTS,"Decorative Copper/ Nickel/ Chromium Coating on Steel, Zinc and Aluminium Alloys/ Anodic and Organic Coating on Aluminium",Water Resistance of Coatings,ASTM D1735
6,CHEMICAL-CORROSION TESTS,Electrical and Electronic Systems/ Componentsfor Road Vehicles,Salt Spray Test,ISO 16750-4 (Clause 5.5)
7,CHEMICAL-CORROSION TESTS,Metallic Material and Surface Treatment for Automotive Parts,Cosmetic/ Cyclic Corrosion Test,JASO M610
16,CHEMICAL-CORROSION TESTS,Painted & Coated Products/ Panels,Salt Fog,MIL 810-H (Clause 509.7)
17,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Automobile Parts,Vibration Test,JIS D1601
18,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components,Change of Temperaturewith Specied Rate of Change (Test Nb),IEC 60068-2-14 (Clause 8)
19,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic components,"Damp Heat, Cyclic(12+12h Cycle) (Test Db)",IEC 60068-2-30
20,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components,Low Temperature Test(Storage),JSS 55555 (Test No. 20)
21,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components,Rapid Change of Temperature with Prescribed Time of Transfer (Test Na),IEC 60068-2-14 (Clause 7)
22,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic components,Shock Test,IEC 60068-2-27
23,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components,Vibration (Sinusoidal),IEC 60068-2-6
24,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components for Road Vehicles,Chemical Load Test,ISO 16750-5
25,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components for Road Vehicles,Composite Temperature/Humidity Cyclic Test,ISO 16750-4 (Clause 5.6.2.3)
26,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronic Components for Road Vehicles,Damp Heat Cyclic Test,ISO 16750-4 (Clause 5.6.2.2)
