0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Corrosion resistance test Salt Spray test,ASTM B117
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Driving Rain Test,IS 9000 (Part 16)
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",High Temperature test,ISO16750-4
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Immersion test - IPX7,ISO 20653
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",low temperature test,ISO 16750-4
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",NSS (Neutral salt spray),JIS Z 2371
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Rapid Change of Temperature Thermal Shock Test (Air to Air),IS 10250
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Temperature step test,ISO 16750-4
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)","Water Spray Test: Shower -S1& S2, Rain - R1 & R2",JIS D 0203
10,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Automotive Parts (Starter Motor, Rectier and Regulator,Switches, CDI, Instrument Cluster, ACG, TCI, IDU, ECU, TCU,TMCU, VCU, ISG, BCM, DC-DC converter, ISG controller,Lighting products)",Driving Rain Test,IS 9000 (Part 16)
