0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Vanadium (V),ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Antimony (Sb),ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Beryllium (Be),ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Bismuth (Bi),ASTM E1251
5,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Calcium (Ca),ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Chromium (Cr),ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Copper (Cu),ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Gallium (Ga),ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Lead (Pb),ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Lithium (Li),ASTM E1251
11,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Magnesium (Mg),ASTM E 1251
12,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Manganese (Mn),ASTM E 1251
13,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Nickel (Ni),ASTM E 1251
14,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Phosphorus (P),ASTM E 1251
15,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Silicon (Si),ASTM E 1251
16,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Sodium (Na),ASTM E 1251
17,CHEMICAL- METALS &ALLOYS,Aluminium & its alloys,Strontium (Sr),ASTM E1251
18,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Tin (Sn),ASTM E 1251
19,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Titanium (Ti),ASTM E 1251
20,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Zinc (Zn),ASTM E 1251
21,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloys,Zirconium (Zr),ASTM E 1251
22,CHEMICAL- METALS &ALLOYS,Aluminium & ts alloys,Iron (Fe),ASTM E 1251
23,CHEMICAL- METALS &ALLOYS,Aluminium and its alloys,Boron (B),ASTM E1251
25,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Aluminium & Its Alloys,Elongation %,ASTM B 557 M
26,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Aluminium & Its Alloys,Ultimate Tensile Strength,ASTM B 557 M
