0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Winding Resistance Measurement ( Primary &Secondary),IS 1180 ( Part 1) Clause 21.2(a)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Check of Core and Frame Insulation,CBIP Pub-317 Sec:BB(Clause 3.15)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Determination of thesound level,IS 1180 ( Part 1) Clause 21.4(a)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Lightning Impulse Test(Positive and Negative Polarity),IS 1180 ( Part 1) (Clause 21.3.a)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Magnetic Balance,CBIP Pub-317 Sec:BB(Clause 3.17)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Magnetizing Current at Low Voltage,CBIP Pub-317 Sec:BB(Clause 3.23)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of Insulation Resistance and Polarization Index,IS 1180 ( Part 1) (Clause 21.2.e)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of Voltage Ratio & Check of Phase Displacement,IS 1180 ( Part 1) Clause 21.2(b)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Oil Leakage Test,IS 1180 ( Part 1) Clause 21.5
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Test with Lightning Impulse Chopped on the Tail (Positive and Negative Polarity),IS 2026(Part 3) (Cl.no.13.3)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of No-Load Loss and Current,IS 1180 (Part 1) Clause 21.2 (d)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of Short Circuit Impedance and Load Loss,"IS 1180 (Part 1) Clause 21.2 c, 6.8,7.8,8.8"
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of Short Circuit Impedance and Load Loss,"IS 1180 (Part 1) Clause 21.2 c, 6.8,7.8,8.8"
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Distribution Transformers - Upto 500 k VA Upto 22k V, 3 Phase",Measurement of Zero Sequence Impedance,IS 2026 Part 1 ( Clause 10.7)
