0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Bypass Diode Functionality Testing(MQT 18.2/MST 07),IS 14286 (Part 2)
2,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Bypass Diode Thermal Testing (MQT 18.1/MST25),IEC 61215-2 (Withdrawn)
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Damp Heat Test (MQT13/MST 53),IEC 61215-2 (Withdrawn)
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Hot-Spot Endurance Test(MQT 09/MST 22),IS 14286 (Part 2)
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Humidity Freeze Test(MQT 12/MST 52),IEC 61215-2 (Withdrawn)
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Humidity Freeze Test(MQT 12/MST 52),IS/IEC 61730-2(Withdrawn)
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Insulation Test (MQT03/MST 16),IS/IEC 61730-2(Withdrawn)
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Stabilization (MQT 19),IS 14286 (Part 2)
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Static Mechanical Load Test (MQT 16/MST 34),IS 14286 (Part 2)
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Static Mechanical Load Test (MQT 16/MST 34),IS/IEC 61730-2(Withdrawn)
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Thermal Cycling test(MQT 11/MST 51),IS 14286 (Part 2)
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Visual Inspection test(MQT 01),IEC 61215-2 (Withdrawn)
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Visual Inspection test(MQT 01),IS 14286 (Part 2)
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Visual Inspection test(MQT 01),IS/IEC 61730-2(Withdrawn)
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Wet Leakage Current test(MQT 15/MST 17),IEC 61215-2 (Withdrawn)
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,Cr-Si Terrestrial PV Modules (PERC & TOPCON),Wet Leakage Current test(MQT 15/MST 17),IS 14286 (Part 2)
