0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Adaptivity (channelaccess mechanism),ETSI EN 301 893 V2.1.1
2,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Adaptivity (channelaccess mechanism),ETSI EN 301 893 V2.1.1
3,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Carrier frequencies,ETSI EN 301 893 V2.1.1
4,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Carrier frequencies,ETSI EN 301 893 V2.1.1
5,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Dynamic Frequency Selection (DFS),ETSI EN 301 893 V2.1.1
6,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Dynamic Frequency Selection (DFS),ETSI EN 301 893 V2.1.1
7,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Occupied Channel Bandwidth,ETSI EN 301 893 V2.1.1
8,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Occupied Channel Bandwidth,ETSI EN 301 893 V2.1.1
9,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Receiver Blocking,ETSI EN 301 893 V2.1.1
10,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Receiver Blocking,ETSI EN 301 893 V2.1.1
11,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Receiver spuriousemissions,ETSI EN 301 893 V2.1.1
12,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,"RF output power,Transmit Power Control(TPC) and Power Density",ETSI EN 301 893 V2.1.1
13,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,"RF output power,Transmit Power Control(TPC) and Power Density",ETSI EN 301 893 V2.1.1
14,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,"RF output power,Transmit Power Control(TPC) and Power Density",ETSI EN 301 893 V2.1.1
15,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Transmitter unwantedemissions outside the 5 GHz RLAN bands,ETSI EN 301 893 V2.1.1
16,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Transmitter unwantedemissions outside the 5 GHz RLAN bands,ETSI EN 301 893 V2.1.1
17,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Transmitter unwantedemissions within the 5 GHz RLAN bands,ETSI EN 301 893 V2.1.1
18,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Transmitter unwantedemissions within the 5 GHz RLAN bands,ETSI EN 301 893 V2.1.1
19,ELECTRONICS- EMCTEST FACILITY,A.C Static Direct Connected Watthour smart Meter Class 1 and 2,Conducted Emission Test,IS 16444 Part 1
20,ELECTRONICS- EMCTEST FACILITY,A.C Static Direct Connected Watthour smart Meter Class 1 and 2,Electrical fast transient,IS 16444 Part 1
21,ELECTRONICS- EMCTEST FACILITY,A.C Static Direct Connected Watthour smart Meter Class 1 and 2,Electrostatic discharge,IS 16444 Part 1
22,ELECTRONICS- EMCTEST FACILITY,A.C Static Direct Connected Watthour smart Meter Class 1 and 2,Radiated Emission Test,IS 16444 Part 1
