0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Shock test,DS/EN 50155
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Vibration test,DS/EN 50155
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"(AUTOMOTIVE) All Electronics /Electrical Products,Assemblies and Components",Drop test for Removable REESS (Clause 6.4.1),AIS 156+A1+A2+A3
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"(AUTOMOTIVE) All Electronics /Electrical Products,Assemblies and Components",REES Ingress Protection Requirement (Clause 6.1.1),AIS 156+A1+A2+A3
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"(AUTOMOTIVE) All Electronics /Electrical Products,Assemblies and Components",Vibration test (Clause 6.2),AIS 156+A1+A2+A3
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Airborne Equipment, Automotive, IT Products/Domestic/Industrial Automation/Scientic/Medical/Aerospace/Automotive/Defense/Telecom/Consumer/Household/Machinery/Testand Measurement/Laboratory/Locomotive /Wireless Products, Military/Defense, Railways",Shock test,"IS 9000 Part 14 (Sec I):1988, IS 9000 (Part 7/Section I): 1979, IEC60068-2-27: 2008, ISO16750-3: 2012, DO-160 G:2010, QM 333: 2010, ETSIEN 300 019-2-1: 2017 ETSIEN 300 019-2-2:2017,ETSI EN 300019-2-3: 2020, ETSI EN300 019-2-4: 2018, IEC61373 : 2010, JSS 55555:2012, MIL-STD-810 G(w/Change 1): 2014, MILSTD 202 H: 2015, MIL PRF28800 F"
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Cyclic damp heat test,DS/EN 50155
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Dry heat test,DS/EN 50155
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Enclosure protection test(IP code),DS/EN 50155
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Low temperature storagetest,DS/EN 50155
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Rapid temperaturevariation test,DS/EN 50155
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Salt mist test,DS/EN 50155
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Stress screening test,DS/EN 50155
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Vibration (Random),JSS 50101
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Vibration test,JSS 50101
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"All Electronics /Electrical Products, Assembliesand Components",Burn-in test,MIL-STD-883 K
