0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Bending Test on Completed Cable,"IS 14255, Clause 10.4"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Breaking Load of Messenger,"IS 14255, Clause 10.1, b (i)"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Carbon Black Test,"IS 14255, Clause 10.1, c (vi), IS10810 (Part-32)"
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Conductor Resistance Test,"IS 14255, Clause 10.1, a (iii), IS10810 (Part-5)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Elongation Test of Messenger,"IS 14255, Clause 10.1, b (ii),Clause 11.3"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Elongation Test of XLPEInsulation After Ageing,"IS 14255, Clause 10.1, c (ii), IS10810 (Part-11)"
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Elongation Test of XLPEInsulation Before Ageing,"IS 14255, Clause 10.1, c (i), IS10810 (Part-7)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,High Voltage Test (Room Temp.),"IS 14255, Clause 10.1, g, IS10810 (Part-45)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Hot Set Test of Insulation,"IS 14255, Clause 10.1, c, (iii),IS 10810 (Part-30)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Insulation Resistance Constant(At Room Temperature),"IS 14255, Clause 10.1, f, IS10810 (Part-43)"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Lay Ratio,"IS 14255, Clause 9.1"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Resistance Test of Messenger,"IS 14255, Clause 10.1, b, (iii),IS 10810 (Part-5)"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Shrinkage Test of XLPEInsulation,"IS 14255, Clause 10.1, c, (iv),IS 10810 (Part-12)"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Tensile Test for Aluminum,"IS 14255, Clause 10.1, a, (i), IS10810 (Part-2)"
15,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Tensile test of XLPE Insulation After Ageing,"IS 14255, Clause 10.1, c, (ii), IS10810 (Part-11)"
16,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for Working voltages upto andincluding 1100 V,Tensile test of XLPE Insulation Before Ageing,"IS 14255, Clause 10.1, c, (i), IS10810 (Part-7)"
