0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Current Transformer (11 k V to 132 k V, 0.2s Class)",Verication of Terminal Marking,IEC 61869-1(Clause 7.3.6)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Current Transformers (11 k V to 132 k V, 0.2s Class)",Partial Discharge test,IEC 61869-1(Clause 7.3.2)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),BDV Test,IEC 61869-1
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Low Voltage Test,IEC 61869-1
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Phase Error Test,IEC 61869-2
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Ratio Error Test,IEC 61869-2
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Composite Error,IEC 61869-2
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Instrument Security Factor,IEC 61869-2
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Insulation Resistance Test,IEC 61869-1
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Inter turn over voltage Test,IEC 61869-2
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Knee Point Voltage,IEC 61869-2
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Power frequency drywithstand on primarywinding,IEC 61869-2
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Tan Delta,IEC 61869-2
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Temperature Rise,IEC 61869-1
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers (11 k V to 132 k V 0.2saccuracy class),Turn Ratio Test,IEC 61869-2
16,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Voltage Transformer (11 k V to 132 k V, 0.2s class)",Verication of Terminal Marking,IEC 61869-1(Clause 7.3.6)
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),BDV Test,IEC 61869-3
18,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Insulation Resistance test,IEC 61869-3
19,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Low Voltage Test,IEC 61869-3
20,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Partial Discharge Test,IEC 61869-1
21,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Phase Error Test,IEC 61869-3
22,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Power frequency drywithstand on primarywinding,IEC 61869-3
23,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Ratio Error Test,IEC 61869-3
24,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Tan Delta,IEC 61869-1
25,ELECTRICAL-INDUCTORS &TRANSFORMERS,Voltage Transformers (11 k V to 132 k V 0.2saccuracy class),Temperature Rise,IEC 61869-1
