0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers,Lightning Impulse testwith and withoutchopping,Cl.No. 21.3.a of IS 1180(Part 3):2021 and Cl.No.13 of IS 2026 (Part 3)
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers,Lightning Impulse testwith and withoutchopping,Cl.No.13 of IEC: 60076(Part 3)
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers,Lightning Impulse testwith and withoutchopping,Cl.No.13 of IS: 2026 (Part 3)
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers,Lightning Impulse testwith and without chpping,Cl.No. 21.3.a of IS 1180(Part 1): 2014 and Cl.No.13 of IS 2026 (Part 3)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Induced over voltagewithstand test,Cl.No.21.2.a of IS 1180 (Part 1):2014 and Cl.No.11 of IS 2026 (Part 3)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Induced over voltagewithstand test,Cl.No.21.2.f of IS 1180 (Part 3):2021 and Cl.No.11 of IS 2026 (Part 3)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement ofimpedance voltage/shortcircuit impedance andload loss at 50 % and 100% load.,Cl.No.21.2.c of IS 1180 (Part 1):2014 and Cl.No.10.4 of IS 2026 (Part 1)
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement ofimpedance voltage/shortcircuit impedance andload loss at 50 % and 100% load.,Cl.No.21.2.c of IS 1180 (Part 3):2021 and Cl.No.10.4 of IS 2026 (Part 1)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement of Insulation resistance,Cl.No.21.2.e of IS 1180 (Part 1):2014 and Cl.No.10.1.3.j of IS 2026 (Part 1)
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement of Insulation resistance,Cl.No.21.2.e of IS 1180 (Part 3):2021 and Cl.No.10.1.3.j of IS 2026 (Part 1)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement of no loadloss and current,Cl.No.21.2.d of IS 1180 (Part 1):2014 and Cl.No.10.5 of IS 2026 (Part 1)
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement of no loadloss and current,Cl.No.21.2.d of IS 1180 (Part 3):2021 and Cl.No.10.5 of IS 2026 (Part 1)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,Transformers (250 k VA to 2500 k VA up to 33 k Vclass),Measurement of Voltageratio and check of phasedisplacement,Cl.No.21.2.b of IS 1180 (Part 1):2014 and Cl.No.10.3 of IS 2026 (Part 1)
