0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Determination of the Sound Level,IEC 60076 (Part 10)
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Induced AC Voltage test,IEC 60076 (Part 3) Clause 11
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Insulation resistance to earthof the windings,IEC 60076 (Part 1): Clause 11.1.2
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Measurement of Dissipation Factor of the Insulation System Capacitance,IEC 60076(Part-1) Clause 11.1.3
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Measurement of the Harmonicsof the No load Current,IS 2026 (Part 1) Clause 10.6
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Measurement of Zero Sequence Impedance,IEC 60076 (Part 1) Clause 11.6
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",No-load losses and current,IEC 60076 (Part 1): Clause 11.5
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Oil BDV Test,CBIP Pub-317:Sec:BB Clause 3.25.1
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Separate Source AC withstand Voltage Test,IEC 60076 (Part 3): Clause 10
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Short Circuit Impedance and Load losses,IEC 60076 (Part 1): Clause 11.4:
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Temperature Rise Test,IEC 60076 (Part 2) Clause 7
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Tests on On-load tap chargers,IEC 60076 (Part 1) Clause 11.7
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Voltage Ratio and Check of Phase Displacement,IEC 60076 (Part 1): Clause 11.3
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution & Power Transformers upto 10 MVA upto 33/11k V, 3 Phase",Winding Resistance Test,IEC 60076 (Part 1): Clause 11.2
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution transformer upto 2.5 MVA Upto 33k V Class, 3phase",Induced AC Voltage test,IS 1180 (Part 1) : Clause 21.2 f)
