0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of Limits of Error,"IS 16444 (Part 1) Cl.No.6.12, IS13779, Cl.No. 11.1"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of Meter Constant,"IS 16444 ( Part 1) Cl.No.6.12, IS 13779, Cl.No.12.15"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of No-Load Condition,"IS 16444 (Part 1) Cl.No.6.12, IS 13779, Cl.No.11.4"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of Power Consumption,"IS 16444 (Part 1), Cl.No.6.10.1"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of Repeatability of Error,"IS 16444 (Part 1),Cl.No.6.12, IS 13779, Cl.No.11.7"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Test of Starting Condition,"IS 16444 (Part 1), Cl. No.6.12, IS13779, Cl.No. 11.5"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",AC High voltage Test,"IS 16444 (Part 1) Cl. No.6.10.6, IS 13779, Cl.No.12.7.6.3"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Direct Connected Watthour Smart Meter, single/three phase, (Class 1 and 2)",Insulation Resistance Test,"IS 16444 (Part 1) Cl. No.6.10.6, IS 13779, Cl.No.12.7.6.4"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Electrical Energy Meters for Active,Reactive and Apparent Energy, single/threephase, (Class 0.2 S, 0.5 Sand 1.0 S)",Test of Limits of Error,"CBIP 325, Cl. No. 5.6.8"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Electrical Energy Meters for Active,Reactive and Apparent Energy, single/threephase, (Class 0.2 S, 0.5 Sand 1.0 S)",Test of No-Load Condition,"CBIP 325, Cl. No. 5.6.4"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Electrical Energy Meters for Active,Reactive and Apparent Energy, single/threephase, (Class 0.2 S, 0.5 Sand 1.0 S)",Test of Power Consumption,"CBIP 325, Cl. No. 5.4.1"
