S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Change of temperature test(thermal cyclic test),IEC 60068-2-14: Clause 8.2
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Cold Test,IEC 60068-2-1:Clause 6.6.1
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Damp heat cyclic(Humiditytest),IEC 60068-2-30: Clause 7.3
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Dry Heat Test,IEC 60068-2-2: Clause 6.5.1
5,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronic components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Change of temperature test(thermal cyclic test),IEC 60068-2-14: Clause 8.2
6,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronic components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Cold Test,IEC 60068-2-1:Clause 6.6.1
7,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronic components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Damp Heat cyclic(Humiditytest),IEC 60068-2-30: Clause 7.3
8,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronic components/Assemblies of Aerospace,Automotive, & Rolling stock equipment",Dry Heat Test,IEC 60068-2-2: Clause 6.5.1
9,MECHANICAL-AUTOMOTIVECOMPONENTS,Automobile parts,Resonance Frequency Detection Test,JIS D1601 Clause No: 5.1
10,MECHANICAL-AUTOMOTIVECOMPONENTS,Automobile Parts,Sweep Vibration Endurance Test,JIS D1601 Clause No:5.4
11,MECHANICAL-AUTOMOTIVECOMPONENTS,Automobile Parts,Vibration Endurance Test,JIS D1601 Clause No: 5.3
12,MECHANICAL-AUTOMOTIVECOMPONENTS,Automobile Parts,Vibration Function Test,JIS D1601 Clause No:5.2
13,MECHANICAL- NOISE &VIBRATION,Electrical and Electronic equipment,Mechanical shock test,MIL-PRF-28800 G: Clause no.4.5.5.4.1
14,MECHANICAL- NOISE &VIBRATION,Electrical and electronic equipment,Random Vibration,MIL-PRF-28800 G Clause No:4.5.5.3.1
15,MECHANICAL- NOISE &VIBRATION,Electrical and electronic equipment,Sinusoidal Vibration test,MIL-PRF-28800 G Clause No:4.5.5.3.2
16,MECHANICAL- NOISE &VIBRATION,"Parts/Assemblies of Aerospace, Automotive, & Rolling stockequipment",Random Vibration,IEC 60068-2-64
17,MECHANICAL- NOISE &VIBRATION,"Parts/Assemblies of Aerospace, Automotive, & Rolling stockequipment",Shock test,IEC 60068-2-27
18,MECHANICAL- NOISE &VIBRATION,"Parts/Assemblies of Aerospace, Automotive, & Rolling stockequipment",Sinusoidal vibration,IEC 60068-2-6
19,MECHANICAL- NOISE &VIBRATION,Rolling Stock Equipment,Functional Random Test,IEC 61373:2010 Clause No.8(Body mounted & Bogiemounted)
20,MECHANICAL- NOISE &VIBRATION,Rolling Stock Equipment,Shock Test,IEC 61373:2010 Clause No.10(Body mounted & Bogiemounted)
21,MECHANICAL- NOISE &VIBRATION,Rolling Stock Equipment,Simulated long-life testing atincreased random vibrationlevels,IEC 61373:2010 Clause No.9(Body mounted & Bogiemounted)
