0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machine,Energy Consumption,"IEC 60456, Cl 8.3"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing machine,Power input and current,"IS 302-2-7 , ref IS 302-1, Cl 10.1"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machine,Rinse Performance,"IEC 60456, Cl 8.6.2"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machine,Wash Performance,"IEC 60456, Cl 8.4"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machine,Water Consumption,"IEC 60456, Cl 8.3"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machine,Water Extraction,"IEC 60456, Cl 8.5"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation (Brake Endurance),"IS 302-2-7 , ref IS 302-1, Cl 19.13"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation (Faulted Component),"IS 302-2-7, Cl 19.101"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation (Lock Rotor),"IS 302-2-7 ,ref IS 302-1, Cl 19.7"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation(Protection against live parts),"IS 302-2-7 , ref IS 302-1, Cl 19.13"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing machines,Abnormal Operation(Temperature rise @faultcondition),"IS 302-2-7, ref IS 302-1, Cl 19.8"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation (Visual Inspection),"IS 302-2-7, Cl 19.102"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation(Running Overload),"IS 302-2-7 , ref IS 302-1, Cl 19.9"
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Abnormal Operation(Temperature rise),"IS 302-2-7 , ref IS 302-1, Cl 19.13"
15,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,"Clearance, Creepage distancesand Solid Insulation (Clearancedistance measurement)","IS 302-2-7 , ref IS 302-1, Cl 29.1"
16,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,"Clearance, Creepage distancesand Solid Insulation (Creepagedistance measurement)","IS 302-2-7, ref IS 302-1, Cl 29.2"
17,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,"Clearance, Creepage distancesand Solid Insulation (Visualinspection)","IS 302-2-7 , ref IS 302-1, Cl 29.3"
18,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing Machines,Construction (Capacitordischarge measurement),"IS 302-2-7 , ref IS 302-1, Cl 22.5"
19,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Washing machines,Construction (High Pressuretest),"IS 302-2-7 , ref IS 302-1, Cl 22.47"
