0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Dry Power Frequency Voltage Withstand,IEC 60060-1
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Dry Switching Impulse Voltage Withstand,IEC 60060-1
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Rated frequency drywithstand with partialdischarge,IEC 60270
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Rated frequency drywithstand with partialdischarge,IEEE C57.19.01
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Rated frequency drywithstand with partialdischarge,IEEE Standard C57.113 TM
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Rated frequency drywithstand with partialdischarge,IEEE Standard C57.12.90 TM
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Verication of name Plate Marking,IEEE C57.19.00 Clause 6.4
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Cantilever Load withstand,"IEC 60137 Clause 4.5,Clause 8.10"
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Cantilever Load withstand,"IS/IEC 60137 Clause 4.5,Clause 8.10"
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Cantilever Strength,IEEE C57.19.00 Clause 7.2.2.2
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Cantilever Strength,IEEE C57.19.01 Table-4
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Capacitance,"IEEE C57.19.01 Clause 4,Table 6"
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Capacitance,"IEC 60137 Clause 9.2,Clause 8.1, Clause 8.2.3,Clause 8.3.3, Clause 9.1,Clause 9.4, Clause 9.6,Clause 4.10"
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Capacitance,"IS/IEC 60137, Clause 9.2,Clause 8.1, Clause 8.2.3,Clause 8.3.3, Clause 9.1,Clause 9.4, Clause 9.6,Clause 4.10"
23,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,BUSHINGS UPTO 300 k V,Dielectric dissipationfactor (Tan Delta),"IS/IEC 60137 Clause 9.2,Clause 8.1, Clause 8.2.3,Clause 8.3.3, Clause 9.1,Clause 9.4, Clause 9.6,Clause 4.10"
