0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",AC High Voltage,IS 16444 (Part 2)(Cl.6.10.6)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Insulation Resistance,IS 16444 (Part 2)(Cl.6.10.6)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Limits of Error,IS 16444 (Part 2)(Cl.6.10.6)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Meter Constant,IS 16444 (Part 2) (Cl.6.12)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",No-Load Condition,IS 16444 (Part 2) (Cl.6.12)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Power Consumption Test,IS 16444 (Part 2)(Cl.6.10.1)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Repeatability of Error,IS 16444 (Part 2) (Cl.6.12)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2s, 0.5s and 1s)",Starting Condition,IS 16444 (Part 2) (Cl.6.12)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Transformer Operated Watthour Meters (Class 0.2s and 0.5s),AC High Voltage,IS 14697 (Cl.12.7.6.1 &Cl.12.7.6.3)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Transformer Operated Watthour Meters (Class 0.2s and 0.5s),Limits of Error,IS 14697 (Cl.11.1)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Transformer Operated Watthour Meters (Class 0.2s and 0.5s),"Limits of Error due toother Inuence Quantity:Voltage Variation 10%,Frequency Variation 5%",IS 14697 (Cl.9.2.1 &Cl.11.2)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Transformer Operated Watthour Meters (Class 0.2s and 0.5s),Limits of Error due toother Inuence Quantity:Waveform 10% of 3rd Harmonics in the Current Circuit,"IS 14697 (Cl.11.2, Table 13)"
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Transformer Operated Watthour Meters (Class 0.2s and 0.5s),Meter Constant,IS 14697 (Cl.12.14)
