0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST FOR POWERCOMSUMPTION,Cl.6.12 of IS 16444(Part-1): 2015 RA
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF INFLUENCEQUANTITIES (FREQUENCYVARIATION TEST),Cl.6.12 of IS16444(Part-1): 2015 RA:
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF INFLUENCEQUANTITIES (VOLTAGEVARIATION TEST),Cl.6.12 of IS 16444(Part-1): 2015 RA
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF METERCONSTANT,Cl.6.12 of IS 16444(Part-1): 2015 RA
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF NO LOADCONDITION,Cl.6.12 of 16444 (Part-1):2015 RA
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF REPEATABILITYOF ERROR,Cl.6.12 of 16444 (Part-1):2015 RA:
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST OF STARTINGCONDITION,Cl.6.12 of IS 16444(Part-1): 2015 RA
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1 & 2 Single and Three Phase),TEST ON LIMITS OFERROR,Cl.6.12 of IS 16444(Part-1): 2015 RA
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",TEST FOR POWERCONSUMPTION,Cl.12.7.1 of IS 14697
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",TEST OF INFLUENCEQUANTITIES (FREQUENCYVARIATION 5%),Cl.11.2 of IS 14697
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",TEST OF INFLUENCEQUANTITIES (VOLTAGEVARIATION),Cl.11.2 of IS 14697
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",TEST OF METERCONSTANT,Cl.12.14 of IS 14697
