S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Insulation Resistance Test,Cl.6.10.6 of IS 16444 (Part 1)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),ac High Voltage Test,Cl.6.10.6 of IS 16444 (Part 1)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test for Power Consumption,Cl.6.10.1 of IS 16444 (Part-1)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Inuence Quantities(Frequency Variation),Cl.6.12 of IS 16444 (Part-1)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Inuence Quantities(Voltage Variation ),Cl.6.12 of IS 16444 (Part-1)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Meter Constant,Cl.6.12 of IS 16444 (Part-1)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of No Load Condition,Cl.6.12 of 16444 (Part-1)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Repeatability of Error,Cl.6.12 of 16444 (Part-1)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Starting Condition,Cl.6.12 of 16444 (Part-1)
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test on Limits of Error,CCl.6.12 of 16444 (Part-1)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Insulation Resistance Test,Cl.12.7.6.4 of IS 14697
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Inuence Quantities(Voltage Variation ),Cl.11.2 of IS 14697
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",ac High Voltage Test,Cl.12.7.6.3 of IS 14697
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test for Power Consumption,Cl.12.7.1 of IS 14697
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Inuence Quantities(Frequency Variation 5%),Cl.11.2 of IS 14697
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Meter Constant,Cl.12.14 of IS 14697
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of No Load Condition,Cl.12.12 of IS 14697
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Repeatability of Error,Cl.12.16 of IS 14697
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Starting Condition,Cl.12.13 of IS 14697
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test on Limits of Error,Cl.11.1 of IS 14697
21,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",ac High Voltage Test,"Cl. 6.10.6 of IS 16444 (Part 2),Amd.1: August"
22,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Insulation Resistance,"Cl: 6.12 of IS 16444 (Part-2),Amd.1: August"
23,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test for Power Consumption,Cl:6.10.1 of IS 16444 (part-2)
24,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of Inuence Quantities(Frequency Variation 5%),Cl: 6.12 of IS 16444 (Part-2)
25,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of Inuence Quantities(Voltage Variation 10%),Cl: 6.12 of IS 16444 (Part-2)
26,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of Meter Constant,Cl: 6.12 of IS 16444 (Part-2)
27,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of No Load Condition,Cl: 6.12 of IS 16444 (Part-2)
28,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of Repeatability of Error,Cl: 6.12 of IS 16444 (Part-2)
29,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test of Starting Condition,Cl: 6.12 of IS 16444 (Part-2)
30,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Smart Meter (Class 0.2s, 0.5s and 1.0s)",Test on Limits of Error,Cl: 6.12 of IS 16444 (Part-2)
31,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),ac High Voltage Test,Cl.12.7.6.3 of IS 13779
32,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Insulation Resistance Test,Cl.12.7.6.4 of IS 13779
33,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test for Power Consumption,Cl.12.7.1 of IS 13779
34,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of Inuence Quantities(Frequency Variation 5%),Cl.11.2 of IS 13779
35,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of Inuence Quantities(Voltage Variation 10%),Cl.11.2 of IS 13779
36,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of Meter Constant,Cl.12.15 of IS 13779
37,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of No Load Condition,Cl. 12.13 of IS 13779
38,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of Repeatability of Error,Cl.12.17 of IS 13779
39,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test of Starting Condition,Cl. 12.14 of IS 13779
40,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watt-hour Meter (Class 1 & 2 Single and Three Phase),Test on Limits of Error,Cl.11.1 of IS 13779
Site Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Insulation Resistance Test,Cl.6.10.6 of IS 16444 (Part 1)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),ac High Voltage Test,Cl.6.10.6 of IS 16444 (Part 1)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test for Power Consumption,Cl.6.10.1 of IS 16444 (Part-1)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Inuence Quantities(Frequency Variation),Cl.6.12 of IS 16444 (Part-1)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Inuence Quantities(Voltage Variation ),Cl.6.12 of IS 16444 (Part-1)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Meter Constant,Cl.6.12 of IS 16444 (Part-1)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of No Load Condition,Cl.6.12 of 16444 (Part-1)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Repeatability of Error,Cl.6.12 of 16444 (Part-1)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test of Starting Condition,Cl.6.12 of 16444 (Part-1)
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watt-hour Smart Meter (Class 1& 2 Single and Three Phase),Test on Limits of Error,CCl.6.12 of 16444 (Part-1)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Insulation Resistance Test,Cl.12.7.6.4 of IS 14697
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",Test of Inuence Quantities(Voltage Variation ),Cl.11.2 of IS 14697
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watt-hour and VAR - hour Meter (Class 0.2s, 0.5s and 1.0s)",ac High Voltage Test,Cl.12.7.6.3 of IS 14697
