0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Wires,Resistivity Test,"IEC 60468, Cl No. 7.0"
2,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Wires for overhead line conductors,Diameter Verication,IEC 60104 Cl No:5 (Withdrawn)
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Wires for overhead line conductors,Elongation Test,IEC 60104 Cl No. 10.1(Withdrawn)
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Wires for overhead line conductors,Tensile Test,IEC 60104 Cl No. 10.1(Withdrawn)
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Wires for overhead line conductors,Visual Examination Test,IEC 60104 Cl No:4 (Withdrawn)
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wire (ACS),Diameter Test,IEC 61232 (Withdrawn)
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wire (ACS),Elongation Test,IEC 61232(Withdrawn)
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wire (ACS),Elongation Test,IEC 63248:2022 (ISO 6892-1)
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wire (ACS),Resistivity Test,"IEC 60468, Cl. No. 7.0"
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wires for electrical purposes,Resistivity Test,IEC 61232 (Withdrawn)
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wires for electrical purposes,Tensile Test,IEC 61232 (Withdrawn)
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wires for electrical purposes,Torsion Test,IEC 61232 (Withdrawn)
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wires for electrical purposes,Visual Examination Test (ACSWires),IEC 61232 (Withdrawn)
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum 1350 Drawing Stock for Electrical Purposes[Aluminium Rods],Diameter Test,ASTM B233 Cl. 7.4
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum 1350 Drawing Stock for Electrical Purposes[Aluminium Rods],Elongation Test,ASTM B233 Cl No:7.4:2021(ASTM 557 )
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminum 1350 Drawing Stock for Electrical Purposes[Aluminium Rods],Tensile Test,ASTM B233:2021 (ASTM B 557)
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Conductors and earth wire accessories for overhead powerlines-Armour Rods,Diameter Verication,IS 2121 Part 1 Cl. 7.3
